contract,stratum,word_count,strict_json_ok,parse_error,fields_ok,brief_json,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,short,109,True,,True,"{""parties"": [""ABP Trust (filer/joint filer)"", ""Adam D. Portnoy (filer/joint filer)""], ""purpose"": ""To document the mutual agreement between ABP Trust and Adam D. Portnoy to jointly file the Schedule 13G/A (and future related amendments) regarding their beneficial ownership of Class A Common Stock of The RMR Group Inc., in compliance with SEC rules."", ""key_obligations"": [""ABP Trust agrees to have the Schedule 13G/A, dated December 31, 2019, filed on its behalf jointly with Adam D. Portnoy"", ""Adam D. Portnoy agrees to have the Schedule 13G/A, dated December 31, 2019, filed on his behalf jointly with ABP Trust"", ""Both parties agree that any future amendments (including on Schedule 13D) signed by each will also be filed jointly, in accordance with Rule 13d-1(k) under the Securities Exchange Act of 1934""], ""term"": ""not specified"", ""risks"": []}",,777,348,end_turn,4.4,0.00503,results/raw/20260825T120844__summary__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,short,302,True,,True,"{""parties"": [""deep systems (hosting provider)"", ""AstroNutrition.com (client, represented by Chester Ku)""], ""purpose"": ""To establish a premium managed hosting arrangement whereby deep systems provides server administration, change management, and technical support services for AstroNutrition.com's website and database."", ""key_obligations"": [""deep systems must manage SMTP, IMAP, DNS, SQL database, and HTTP server software/systems for AstroNutrition.com's domain and site, including regular off-site backups"", ""deep systems must manage site source code and integrate contributed software updates and bug fixes into zencart"", ""deep systems must provide 24x7 emergency phone support and respond to non-critical email issues within 1 business day"", ""deep systems must maintain a 99 percent server uptime guarantee"", ""deep systems may charge $55 CAD/hour for project management support of external development and custom software development, if requested"", ""AstroNutrition.com must pay $175 per month for managed hosting services, billed on the 1st of each month"", ""AstroNutrition.com must pay overage fees of $20 per additional 1 G of bandwidth beyond the included 10 G per month""], ""term"": ""12 months, from March 1, 2005 to February 28, 2006; no renewal terms specified."", ""risks"": [""Only a 99 percent uptime guarantee is promised, with no stated remedy or penalty if this threshold is not met"", ""No liability cap, indemnification clause, or limitation of damages is specified, leaving liability exposure undefined"", ""No termination rights (for convenience or breach) are specified, creating uncertainty about early exit options"", ""Bandwidth overage charges ($20 per G) could result in unpredictable additional costs"", ""No specified consequences or SLA remedies for failure to meet the 1-business-day email response commitment"", ""No intellectual property ownership terms are specified for custom software development performed under professional services""]}",,1262,628,end_turn,8.75,0.0088,results/raw/20260825T120853__summary__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,short,529,True,,True,"{""parties"": [""National Football League Alumni - Northern California Chapter (NFLA-NC) (endorsing party/donation recipient)"", ""National Football League Alumni, Inc. (NFLA) (endorsing party/licensor of logo)"", ""Food For Athletes, Inc. / Gridiron BioNutrients\u2122 (Company) (licensee/product manufacturer)""], ""purpose"": ""This Addendum amends the original Endorsement Agreement to add Gridiron CBD H2O Probiotic\u2122 Water to the list of Licensed Products that may use the Pro Football Legends Logo, and to confirm the per-unit donation arrangement tied to sales of Licensed Products."", ""key_obligations"": [""Company: must obtain written amendment signed by all parties before adding any further products to the Licensed Products list."", ""Company/NFLA-NC: NFLA-NC must donate $0.05 per Unit sold of Licensed Products within the Contract Territory, calculated per the stated per-unit conversion table for each product type."", ""NFLA-NC: must donate 15% of the proceeds it receives from the Company to the NFLA."", ""Company: must provide NFLA-NC, upon request, the most recent quarterly sales report of the Company's Licensed Products."", ""NFLA-NC: must allocate and disperse donated amounts quarterly, beginning the first full quarter of the Agreement, for the term of the Agreement.""], ""term"": ""Not specified in this Addendum beyond reference to the original Endorsement Agreement dated October 30, 2017; this Addendum was executed November 22, 2017, but no expiration or renewal terms are stated."", ""risks"": [""Donation/payment obligations rely on self-reported sales data from the Company, with reports provided only 'upon request,' creating potential for underreporting or delayed verification."", ""No specified termination, expiration, or renewal provisions in this Addendum, creating uncertainty about how long the donation and licensing obligations persist."", ""Amendments to add further products require unanimous written consent, which could slow business flexibility for the Company."", ""No liability caps, indemnification clauses, or dispute resolution mechanisms are included in this Addendum, leaving those risk allocations governed solely by the underlying (not fully provided) Endorsement Agreement.""]}",,1956,765,end_turn,10.34,0.01156,results/raw/20260825T120903__summary__claude-sonnet-5__GridironBionutrientsInc_20171206_8-K_EX-.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,short,756,True,,True,"{""parties"": [""Bank of America, N.A. (licensee/customer)"", ""Cardlytics, Inc. (supplier/licensor)""], ""purpose"": ""This Product License Schedule, issued under the Software License, Customization and Maintenance Agreement, sets out the licensing, source code delivery, maintenance, delivery/installation, and payment terms for Bank of America's use of Cardlytics' Offer Placement System (OPS) software."", ""key_obligations"": [""Supplier (Cardlytics) must deliver source code according to the payment schedule triggers tied to time after the General Services Agreement Effective Date, user thresholds, National Launch, and performance adjustments."", ""Supplier must provide no-charge Maintenance Services from Delivery Date through the Warranty Period, then paid Maintenance Services for an Initial 12-month term with automatic 12-month renewals."", ""Supplier must provide training classes in connection with installation of the first copy of the Software."", ""Supplier must provide non-maintenance support services at Time and Materials rates per the Price List."", ""Bank of America must maintain its copy of the Source Code at a designated installation site per the Agreement's terms."", ""Bank of America has the right to terminate Maintenance Services for convenience and may reinstate them without a reinstatement fee."", ""Software License and Maintenance are stated to be provided at no charge under the Payment Terms section, though source code delivery fees apply per the schedule.""], ""term"": ""Warranty Period is 120 days from Installation Date; Acceptance Period is 120 days; Initial Maintenance Term is 12 months following the Warranty Period, automatically renewing for successive 12-month periods unless terminated by Bank of America for convenience; specific delivery/installation dates are listed as TBD."", ""risks"": [""Bank of America holds a unilateral right to terminate Maintenance Services for convenience at any time, with no reinstatement fee upon reinstatement, creating an asymmetric termination right favoring Bank of America."", ""Source code escrow/delivery fees escalate significantly (amounts redacted as confidential) if Supplier fails to meet Performance Adjustments for six consecutive months or materially breaches the Agreement, indicating a penalty-like structure tied to performance failures."", ""Revenue share payment terms for source code delivery are contingent on Supplier meeting performance benchmarks, shifting financial risk to Supplier if benchmarks are missed."", ""At any time of material breach by Supplier, an additional (redacted) fee applies, indicating a financial consequence for breach but with confidential/undisclosed amount limiting transparency."", ""Many key terms (Delivery Date, Installation Date, Source Code Installation Site, Installation Site, method of delivery) are marked 'TBD', creating uncertainty and potential future disputes over unspecified terms."", ""Installation support is deferred to a separate agreement, creating a risk of gaps or misalignment between this Schedule and that separate agreement.""]}",,2506,995,end_turn,11.83,0.01496,results/raw/20260825T120915__summary__claude-sonnet-5__CardlyticsInc_20180112_S-1_EX-10.16_1100.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",short,903,True,,True,"{""parties"": [""EWSD 1, LLC d/b/a Shi Farms (Seller)"", ""Gridiron BioNutrients, Inc. (Buyer)""], ""purpose"": ""Shi Farms agrees to sell and Gridiron agrees to purchase 30,000 lbs. of industrial hemp biomass meeting specified CBD/THC and contamination standards, for a total price of $150,000."", ""key_obligations"": [""Shi Farms: grow, supply and deliver 30,000 lbs. of hemp biomass meeting minimum 6% CBD/CBDA and under 3% THC, free of specified contaminants"", ""Shi Farms: ship Product Samples to a lab designated by Gridiron if requested"", ""Shi Farms: deliver the Biomass to a processor designated by Gridiron"", ""Shi Farms: use best efforts to quarantine the Product after payment until delivery"", ""Gridiron: remit payment of $150,000 upon execution of the agreement"", ""Gridiron: may take its own Product Samples for independent testing"", ""Gridiron: indemnify and hold Shi Farms harmless from claims, losses, liabilities, taxes, fines and costs arising from Gridiron's breach, inaccuracy of representations, or non-performance"", ""Both parties: provide prompt notice of any third-party claim or legal proceeding"", ""Both parties: maintain confidentiality of shared information and return it upon termination"", ""Both parties: not amend, waive, or assign the agreement without mutual written consent""], ""term"": ""No fixed term specified; the Agreement runs until delivery of the Product, and either Party may terminate at any time prior to delivery."", ""risks"": [""One-sided indemnification: only Gridiron indemnifies Shi Farms, with no reciprocal indemnity from Shi Farms"", ""Unilateral termination right for either party at any time before delivery creates uncertainty after payment is made"", ""Payment is due upon execution, before delivery or quality verification of the Biomass, exposing Gridiron to prepayment risk"", ""Quarantine obligation is only a 'best efforts' standard, not a guarantee of product safekeeping"", ""No liability cap specified for indemnification obligations, potentially exposing Gridiron to open-ended costs"", ""Governing law and dispute resolution restricted to Colorado state courts, which may be less convenient for Gridiron (Washington-based)""]}",,2530,801,end_turn,8.21,0.01307,"results/raw/20260825T120923__summary__claude-sonnet-5__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,1762,True,,True,"{""parties"": [""Federated Investment Management Company (Adviser)"", ""Federated Advisory Services Company (FASC, service provider)""], ""purpose"": ""FASC agrees to provide certain support services (performance attribution and administration/risk management) to the Adviser in connection with the Adviser's role as investment adviser/subadviser to registered investment companies and separate accounts, in exchange for fees."", ""key_obligations"": [""FASC must provide the Services described in Exhibit A (performance attribution; administration and risk management support)."", ""Adviser must pay FASC the Services Fees calculated monthly in arrears per the formula in Exhibit B."", ""FASC must create and maintain required books and records (including those required under Section 31(a) of the 1940 Act and Rule 31a-2) and provide Account owners/representatives access to and copies of such records upon request."", ""FASC must give prompt notice to Adviser of any claim likely to result in indemnification liability, and may not settle such claims without Adviser's consent (subject to certain exceptions)."", ""Adviser must indemnify and hold FASC harmless for liabilities and expenses arising from FASC's actions taken in performing the Services (absent willful malfeasance, bad faith, gross negligence, or reckless disregard by FASC), and has the option to assume defense of indemnified claims."", ""Both parties must limit recourse for the other's obligations solely to that party's own assets, not to its shareholders, trustees, officers, employees or agents.""], ""term"": ""Begins January 1, 2004 and continues until terminated by mutual agreement or by either party on not less than 60 days' written notice; for Services deemed 'investment advisory services' to a registered investment company, the Agreement must be approved by the Account's Board before commencing, requires annual reapproval by the Board (including independent members), can be terminated without penalty by the Board or a majority vote of outstanding voting securities on 60 days' notice, and automatically terminates upon assignment or termination of the related Advisory Agreement."", ""risks"": [""Limitation of liability: FASC is only liable for losses caused by its willful malfeasance, bad faith, gross negligence, or reckless disregard of duties\u2014otherwise it bears no responsibility for errors of judgment or losses."", ""Broad indemnification obligation on the Adviser to cover FASC's liabilities and defense costs arising from FASC's performance of Services, which could be a significant financial exposure for the Adviser."", ""Adviser controls settlement/defense of indemnified claims once it assumes defense, potentially limiting FASC's control over litigation strategy affecting its own liability."", ""Mutual limitation-of-liability/non-recourse clause shields each party's trustees, officers, shareholders, and agents from liability, restricting remedies to the contracting entity's assets only."", ""Unilateral termination right: either party may terminate on 60 days' notice without cause, creating potential business continuity risk for the Adviser."", ""Automatic termination provisions tied to assignment or termination of underlying Advisory Agreements could abruptly end services with limited advance planning."", ""Fee structure (Cost of Services allocation formula with a fixed 10% margin) is based on FASC's internal cost allocations across multiple advisers, which may be difficult for the Adviser to audit or verify independently.""]}",,4051,1096,end_turn,12.73,0.01906,results/raw/20260825T120936__summary__claude-sonnet-5__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,short,1849,True,,True,"{""parties"": [""The HUANG JIA Country CLUB and Recreation Inc. (Party A / client)"", ""Chang Chen-Bin Architects Office (Party B / architect-planner)""], ""purpose"": ""Party B is engaged to provide comprehensive planning, design, regulatory filing, and construction monitoring services for the development of the Miaoli Royal Resort Hotel, covering architectural planning, soil and water conservation, environmental impact assessment, land use change, landscaping, miscellaneous works, and building design/construction monitoring."", ""key_obligations"": [""Party A must pay service fees in 10 staged installments totaling NTD 12 million plus percentage-based fees (3.5% and other rates) tied to legal construction cost, at specified milestones."", ""Party A must supply land rights data and other required basic information (developer name, responsible person's details, project purpose/content) needed for Party B's work."", ""Party A must bear extra service fees if it requires comprehensive modifications to the development plan causing added costs for Party B."", ""Party B must prepare all documents, drawings, and plans for architectural development, soil/water conservation, environmental impact assessment, land use change, landscaping, miscellaneous works, and building construction."", ""Party B must attend coordination/review meetings, respond to consultations, and revise plans as needed."", ""Party B must arrange signing/verification by licensed technicians and architects for various regulatory submissions."", ""Party B must provide construction monitoring and survey of major construction parts, and help resolve construction disputes/problems."", ""Party B must follow Party A's instructions, ensure compliance with construction laws, act professionally, protect Party A's interests, choose economical safe options, and report progress regularly."", ""If the contract cannot be performed due to Party B's fault, Party B must refund all fees paid without interest; if due to reasons other than Party B, fees paid are non-refundable.""], ""term"": ""not specified as a fixed contract duration; a stage-by-stage project timeline is provided (approx. total 20-27 months across phases from topographic survey through construction license application), but no overall contract expiration or renewal terms are stated."", ""risks"": [""Client (Party A) bears risk of non-refundable fees if the contract fails for reasons unrelated to Party B, while Party B must fully refund fees only if the failure is its own fault \u2014 an asymmetric risk allocation favoring Party B."", ""Percentage-based fees (3.5% and 3%, 0.5% of legal construction cost) create open-ended cost exposure for Party A tied to construction cost fluctuations rather than fixed sums."", ""Party A is liable for extra service fees if it requests comprehensive modifications, potentially significant cost exposure with no defined cap."", ""Dispute resolution requires mandatory arbitration in Miaoli County with compulsory results, limiting recourse to courts except to challenge the arbitration outcome, and disputes over that are restricted to Miaoli District Court \u2014 limiting forum flexibility for either party."", ""Numerous costs (land measurement, geological drilling, land administration compliance, air pollution prevention, security monitoring, scrivener services, deposits, expert attendance, etc.) are excluded from the service fee, meaning Party A faces additional unbudgeted costs."", ""No liability cap or indemnity provisions are specified, leaving liability exposure undefined for both parties."", ""Long, multi-phase timeline (up to 27+ months) with dependencies on regulatory approvals creates timeline and completion risk not guaranteed by the contract.""]}",,4763,1185,end_turn,13.42,0.02138,results/raw/20260825T120949__summary__claude-sonnet-5__ImperialGardenResortInc_20161028_DRS_(on.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,short,2320,True,,True,"{""parties"": [""Yaskawa Electric Corporation (YEC) (investor, distributor, strategic alliance partner)"", ""Argo Medical Technologies Ltd. (ARGO) (manufacturer/licensor of products, strategic alliance partner)""], ""purpose"": ""To establish a strategic alliance between YEC and ARGO for the marketing, distribution, improvement, and joint development of ARGO's bipedal exoskeleton healthcare products, alongside YEC's investment in ARGO and potential distribution of YEC's healthcare products through ARGO's network."", ""key_obligations"": [""ARGO must appoint YEC as exclusive distributor of ARGO's products in the territory defined in the concurrently executed Distribution Agreement (DA)."", ""YEC must market and distribute ARGO's products in a professional manner under the DA."", ""YEC must purchase Series D-1 Convertible Preferred Shares of ARGO pursuant to a separate Share Purchase Agreement (SPA)."", ""ARGO must consider marketing and distributing future YEC healthcare products within its sales network."", ""Both parties must form and participate in a Joint Steering Committee meeting at least quarterly to review sales progress, set targets, discuss product improvements, R&D responsibilities, licensed manufacturing, and quality improvements."", ""Both parties must negotiate in good faith to conclude license agreements before using each other's IP for joint development or product improvement."", ""Both parties must execute a new Confidentiality and Non-Disclosure Agreement and comply with its terms."", ""Both parties must refrain from soliciting or hiring the other's employees or contractors during the collaboration and for 12 months after termination."", ""Neither party may assign or transfer the Agreement without the other's prior written consent."", ""A defaulting party must reimburse the non-defaulting party for costs, expenses, and attorney's fees arising from default or enforcement litigation.""], ""term"": ""Initial Term of 10 years from the Effective Date (September 24, 2013); after the 7th anniversary, either party may terminate with 60 days' written notice; renewal only by written agreement of authorized officers at least 30 days before expiration of the Initial Term or any renewal term; also terminable by mutual written agreement or for uncured material default (60-day cure period)."", ""risks"": [""Exclusive distribution rights granted to YEC create an exclusivity restriction limiting ARGO's ability to use other distributors in the relevant territory."", ""Unilateral termination right for either party after the 7th anniversary with only 60 days' notice, creating uncertainty in long-term planning."", ""Non-solicitation clause with equitable relief and waiver of bond requirement increases enforcement risk/cost for breaching party."", ""IP is supplied 'as is' with no warranties (including no merchantability, fitness for purpose, or non-infringement warranties), shifting risk of IP defects or infringement to the receiving party."", ""Litigation expense clause imposes cost/attorney fee liability on the defaulting or non-prevailing party, increasing exposure in disputes."", ""Governing law and exclusive jurisdiction is Israel (Tel Aviv courts), which may be a foreign forum risk for YEC (a Japanese company)."", ""Survival provisions mean termination or invalidity of this Agreement does not affect related agreements (SPA, DA, NDA), potentially leaving YEC bound to investment/distribution obligations independently of alliance termination."", ""ARGO's obligations survive even if YEC sells its ARGO shares, limiting ARGO's ability to renegotiate based on changed ownership.""]}",,5514,1208,end_turn,13.07,0.02311,results/raw/20260825T121002__summary__claude-sonnet-5__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,2438,True,,True,"{""parties"": [""Morgan Stanley Investment Management Inc. (Licensor)"", ""Morgan Stanley Direct Lending Fund (Licensee)""], ""purpose"": ""Licensor grants Licensee a limited, non-exclusive license to use the 'Morgan Stanley' brand/trademark solely to state in public filings, offering materials, advertising and press releases that Licensor (or an affiliate) provides investment advisory services to Licensee."", ""key_obligations"": [""Licensee must use the Brand only for the Permitted Activity and not in any other manner"", ""Licensee must submit all proposed uses of the Brand to Licensor for prior written approval before use"", ""Licensee must maintain quality consistent with Licensor's standards and use required trademark notices"", ""Licensee must comply with all applicable laws and reputable industry practice relating to its business and the Permitted Activity"", ""Licensee must not challenge, contest or dispute Licensor's ownership of the Brand, or register any mark containing the Brand"", ""Licensee must assign to Licensor any rights it or a sublicensee is deemed to acquire in the Brand, including associated goodwill"", ""Licensee may only sublicense to wholly owned subsidiaries with Licensor's prior written consent, and must ensure sublicenses contain matching termination and obligation provisions"", ""Licensee must promptly notify Licensor of any known infringement of the Brand and cooperate in enforcement actions (at Licensor's expense)"", ""Licensee must indemnify, defend and hold harmless Licensor (and affiliates) for third-party claims arising from Licensee's breach, operation of its business, or unauthorized use of the Brand"", ""Upon termination, Licensee must immediately cease all use of the Permitted Activity and cooperate to preserve the value of the Brand"", ""Each party warrants it has authority and capacity to enter into and perform the Agreement""], ""term"": ""The Agreement commences on the Effective Date and continues in perpetuity, subject to earlier termination for convenience by Licensor, for uncured material breach (15-day cure period), or automatically upon termination/non-renewal of the Investment Advisory Agreement or the Advisor ceasing to be a Morgan Stanley affiliate."", ""risks"": [""Licensor may terminate the Agreement immediately and unilaterally 'for any reason,' including brand non-compliance, giving Licensee little control over continuity of the license"", ""Automatic termination if the Investment Advisory Agreement ends or the Advisor ceases to be a Morgan Stanley affiliate, creating dependency risk tied to a separate contract"", ""All goodwill from Licensee's use of the Brand inures solely to Licensor, and any IP rights Licensee might acquire must be assigned to Licensor without consideration"", ""Broad one-sided indemnification: Licensee must indemnify Licensor for breaches, business operations, and unauthorized Brand use, with no reciprocal indemnity from Licensor"", ""Licensor disclaims all warranties (including title and non-infringement) regarding the Brand, and Licensee's use is 'as-is'"", ""Mutual exclusion of consequential/punitive damages, except this limitation does not apply to Licensee's indemnification obligations, leaving Licensee's liability exposure uncapped for indemnified claims"", ""Assignment restrictions are strict: Licensee cannot assign, and mergers, changes of control, or sales of substantially all stock are deemed assignments requiring Licensor's sole-discretion consent, with violations causing automatic termination"", ""Licensor has sole right to control infringement enforcement actions, limiting Licensee's ability to act independently to protect the Brand"", ""Injunctive relief available to Licensor without bond requirement, increasing Licensee's litigation risk exposure"", ""Sublicenses are narrowly limited (only to wholly owned subsidiaries, with consent) and terminate automatically on multiple trigger events, creating operational risk for Licensee's subsidiaries relying on the Brand""]}",,6716,1340,end_turn,13.83,0.02683,results/raw/20260825T121016__summary__claude-sonnet-5__MorganStanleyDirectLendingFund_20191119_.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,short,2765,True,,True,"{""parties"": [""Physician Sales & Service, Inc. (PSS) - acquiring company/issuer of PSS Common Stock"", ""William W. McInnes (undersigned affiliate/shareholder of GSMS)"", ""Edward Shulman (undersigned affiliate/shareholder of GSMS)"", ""Donna C.E. Williamson (undersigned affiliate/shareholder of GSMS)"", ""David L. Bogetz (undersigned affiliate/shareholder of GSMS)"", ""Melvin L. Hecktman (undersigned affiliate/shareholder of GSMS)"", ""Thomas G. Hixon (undersigned affiliate/shareholder of GSMS)"", ""Steve Richardson (undersigned affiliate/shareholder of GSMS)"", ""Guy W. Edwards (undersigned affiliate/shareholder of GSMS)"", ""Stanton Keith Pritchard (undersigned affiliate/shareholder of GSMS)"", ""Louie Vaughan (undersigned affiliate/shareholder of GSMS)""], ""purpose"": ""To govern the rights and restrictions applicable to shares of PSS Common Stock received by GSMS shareholders who are deemed 'affiliates' under SEC Rule 145, in connection with the merger of PSS Merger Corp. into GSMS and the resulting stock-for-stock exchange under the Agreement and Plan of Merger dated December 14, 1997."", ""key_obligations"": [""Each undersigned affiliate agrees not to sell, transfer, or otherwise dispose of or reduce risk relative to PSS shares received in the Merger until PSS confirms ASR 130/135 financial reporting requirements have been met."", ""Each undersigned affiliate represents the PSS shares are acquired for their own account, not for distribution, and acknowledges no registration has occurred under the 1933 Act."", ""Each undersigned affiliate represents they have not sold, transferred, or reduced risk in GSMS shares during the 30 days preceding the Effective Time of the Merger."", ""Each undersigned affiliate agrees to treat the Merger as a tax-free reorganization consistent with PSS's treatment and affirms no plan to dispose of PSS stock that would jeopardize 'continuity of interest' under Section 368 of the Code."", ""PSS agrees to publish post-Merger combined financial results within 45 days after the first full fiscal quarter of combined operations and promptly notify affiliates upon publication (ASR 130/135 compliance)."", ""PSS agrees to place restrictive legends on stock certificates and to maintain stop-transfer instructions until conditions for removal are met."", ""PSS agrees to remove restrictive legends upon satisfaction of ASR 130/135 requirements or applicable Rule 144/145(d) amendments, subject to counsel opinion."", ""PSS agrees to timely file all required reports under Section 13 of the Securities Exchange Act of 1934 for three years post-Merger to preserve Rule 145(d) public information availability."", ""PSS agrees to facilitate affiliate transfers under Rule 145(d) by providing necessary legal opinions to its transfer agent upon compliant sale requests."", ""Each undersigned affiliate agrees the agreement's restrictions extend to shares beneficially owned by related parties (spouse, relatives, trusts, controlled entities).""], ""term"": ""Not explicitly defined as a fixed term; key restrictions (e.g., disposition limits) last until PSS confirms ASR 130/135 compliance, and PSS's reporting obligation under Section 13 continues for three years after the Merger's effective date. No renewal provisions are specified."", ""risks"": [""Affiliates face a unilateral, PSS-controlled trigger (publication of financial results) determining when they may sell shares, creating dependency on PSS's discretion and timing."", ""PSS has no obligation to register the affiliates' shares under the 1933 Act, limiting affiliates' liquidity options to exemptions like Rule 144/145(d)."", ""Restrictive legends and stop-transfer instructions could impede affiliates' ability to freely trade shares until conditions are satisfied."", ""Affiliates bear representation risk regarding 'continuity of interest' for tax-free reorganization status; any breach could jeopardize the Merger's tax treatment."", ""Directors/officers of PSS face potential Section 16(b) short-swing profit liability if they sell PSS shares within six months of the Merger's effective time."", ""Broad attribution of beneficial ownership (spouses, relatives, trusts, controlled entities) extends transfer restrictions beyond the individual affiliate, increasing compliance burden."", ""Agreement is governed by Delaware law, which may affect dispute resolution venue/interpretation for out-of-state affiliates.""]}",,7521,1618,end_turn,16.14,0.03122,results/raw/20260825T121032__summary__claude-sonnet-5__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-.txt
