check_id,claim_id,model,contract,stratum,field,claim,locator,claim_verdict_ok_error_unverifiable,error_mode_invention_misattribution_redaction_conflation,evidence_quote_from_contract,claim_notes
REC-01,REC-01.01,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,parties,Morgan Stanley Investment Management Inc. (Licensor),Investment,,,,
REC-01,REC-01.02,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,parties,Morgan Stanley Direct Lending Fund (Licensee),Licensee,,,,
REC-01,REC-01.03,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,term,"The Agreement commences on the Effective Date and continues in perpetuity, subject to earlier termination for convenience by Licensor, for uncured material breach (15-day cure period), or automatically upon termination/non-renewal of the Investment Advisory Agreement or the Advisor ceasing to be a Morgan Stanley affiliate.",Investment,,,,
REC-01,REC-01.04,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,key_obligations,Licensee must use the Brand only for the Permitted Activity and not in any other manner,Permitted,,,,
REC-01,REC-01.05,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,key_obligations,Licensee must submit all proposed uses of the Brand to Licensor for prior written approval before use,Licensee,,,,
REC-01,REC-01.06,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,key_obligations,Licensee must maintain quality consistent with Licensor's standards and use required trademark notices,Licensee,,,,
REC-01,REC-01.07,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,key_obligations,Licensee must comply with all applicable laws and reputable industry practice relating to its business and the Permitted Activity,Permitted,,,,
REC-01,REC-01.08,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,key_obligations,"Licensee must not challenge, contest or dispute Licensor's ownership of the Brand, or register any mark containing the Brand",Licensee,,,,
REC-01,REC-01.09,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,key_obligations,"Licensee must assign to Licensor any rights it or a sublicensee is deemed to acquire in the Brand, including associated goodwill",Licensee,,,,
REC-01,REC-01.10,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,key_obligations,"Licensee may only sublicense to wholly owned subsidiaries with Licensor's prior written consent, and must ensure sublicenses contain matching termination and obligation provisions",Licensee,,,,
