check_id,claim_id,model,contract,stratum,field,claim,locator,claim_verdict_ok_error_unverifiable,error_mode_invention_misattribution_redaction_conflation,evidence_quote_from_contract,claim_notes
REC-01,REC-01.01,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,parties,Federated Investment Management Company (Adviser),Investment,,,,
REC-01,REC-01.02,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,parties,"Federated Advisory Services Company (FASC, service provider)",Federated,,,,
REC-01,REC-01.03,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,term,"Begins January 1, 2004 and continues until terminated by mutual agreement or by either party on not less than 60 days' written notice; for Services deemed 'investment advisory services' to a registered investment company, the Agreement must be approved by the Account's Board before commencing, requires annual reapproval by the Board (including independent members), can be terminated without penalty by the Board or a majority vote of outstanding voting securities on 60 days' notice, and automatically terminates upon assignment or termination of the related Advisory Agreement.",Services,,,,
REC-01,REC-01.04,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,key_obligations,FASC must provide the Services described in Exhibit A (performance attribution; administration and risk management support).,Services,,,,
REC-01,REC-01.05,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,key_obligations,Adviser must pay FASC the Services Fees calculated monthly in arrears per the formula in Exhibit B.,Services,,,,
REC-01,REC-01.06,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,key_obligations,FASC must create and maintain required books and records (including those required under Section 31(a) of the 1940 Act and Rule 31a-2) and provide Account owners/representatives access to and copies of such records upon request.,Account,,,,
REC-01,REC-01.07,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,key_obligations,"FASC must give prompt notice to Adviser of any claim likely to result in indemnification liability, and may not settle such claims without Adviser's consent (subject to certain exceptions).",Adviser,,,,
REC-01,REC-01.08,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,key_obligations,"Adviser must indemnify and hold FASC harmless for liabilities and expenses arising from FASC's actions taken in performing the Services (absent willful malfeasance, bad faith, gross negligence, or reckless disregard by FASC), and has the option to assume defense of indemnified claims.",Services,,,,
REC-01,REC-01.09,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,key_obligations,"Both parties must limit recourse for the other's obligations solely to that party's own assets, not to its shareholders, trustees, officers, employees or agents.",Both,,,,
REC-01,REC-01.10,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,risks,"Limitation of liability: FASC is only liable for losses caused by its willful malfeasance, bad faith, gross negligence, or reckless disregard of duties—otherwise it bears no responsibility for errors of judgment or losses.",Limitation,,,,
REC-01,REC-01.11,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,risks,"Broad indemnification obligation on the Adviser to cover FASC's liabilities and defense costs arising from FASC's performance of Services, which could be a significant financial exposure for the Adviser.",Services,,,,
REC-01,REC-01.12,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,risks,"Adviser controls settlement/defense of indemnified claims once it assumes defense, potentially limiting FASC's control over litigation strategy affecting its own liability.",Adviser,,,,
REC-01,REC-01.13,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,risks,"Mutual limitation-of-liability/non-recourse clause shields each party's trustees, officers, shareholders, and agents from liability, restricting remedies to the contracting entity's assets only.",Mutual,,,,
REC-01,REC-01.14,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,risks,"Unilateral termination right: either party may terminate on 60 days' notice without cause, creating potential business continuity risk for the Adviser.",Unilateral,,,,
