model,contract,item,dim,passed,reason,words,stratum
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,F1,faithfulness,True,All three parties listed in the brief are explicitly named in the contract preamble.,529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,F2,faithfulness,False,"The brief incorrectly attributes the $0.05 per unit donation and the quarterly dispersal of funds to NFLA-NC, whereas the contract states these amounts are payable to and dispersed to the Chapter by the Company.",529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,F3,faithfulness,True,"The brief correctly states that the term is not specified in the addendum, which matches the contract's lack of explicit dates or duration.",529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,F4,faithfulness,True,Each identified risk is directly supported by specific contract clauses or the explicit absence of standard provisions in the text.,529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,C1,coverage,True,The brief correctly identifies all three contracting entities named in the agreement.,529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,C2,coverage,True,The purpose accurately captures the addendum's dual function of adding a licensed product and confirming the per-unit donation structure.,529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,C3,coverage,True,"The brief lists material obligations for both the Company and NFLA-NC, covering both sides of the agreement.",529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,C4,coverage,True,The brief correctly reports that expiration and renewal terms are not specified within this addendum.,529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,C5,coverage,True,"The brief appropriately notes the absence of key risk allocation mechanisms like liability caps and indemnities, which are indeed missing from the text.",529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,U1,usability,True,"The brief contains all necessary context, definitions, and obligations to be fully understood without referencing the original contract.",529,short
