profile,task,model,score
cost-constrained,extraction,deepseek-v4-pro,0.8089
cost-constrained,extraction,gemini-3.1-pro,0.4682
cost-constrained,extraction,gpt-5.6-terra,0.4676
cost-constrained,extraction,claude-sonnet-5,0.4114
cost-constrained,qa,deepseek-v4-pro,0.9668
cost-constrained,qa,gemini-3.1-pro,0.5787
cost-constrained,summarisation,deepseek-v4-pro,0.8849
cost-constrained,summarisation,gpt-5.6-terra,0.5918
cost-constrained,summarisation,gemini-3.1-pro,0.5446
cost-constrained,summarisation,claude-sonnet-5,0.389
confidentiality-constrained,extraction,deepseek-v4-pro,0.8567
confidentiality-constrained,qa,deepseek-v4-pro,0.9751
confidentiality-constrained,summarisation,deepseek-v4-pro,0.8793
quality-critical,extraction,deepseek-v4-pro,0.7612
quality-critical,extraction,claude-sonnet-5,0.7412
quality-critical,extraction,gemini-3.1-pro,0.6409
quality-critical,extraction,gpt-5.6-terra,0.4648
quality-critical,qa,deepseek-v4-pro,0.9585
quality-critical,qa,gemini-3.1-pro,0.7321
quality-critical,summarisation,gpt-5.6-terra,0.7914
quality-critical,summarisation,claude-sonnet-5,0.7872
quality-critical,summarisation,deepseek-v4-pro,0.778
quality-critical,summarisation,gemini-3.1-pro,0.7377
