model,contract,judge_coverage_pass,cuad_gold_coverage,gap
claude-sonnet-5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,1.0,0.8571428571428571,0.143
claude-sonnet-5,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,1.0,0.6363636363636364,0.364
claude-sonnet-5,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,1.0,0.0,1.0
claude-sonnet-5,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,1.0,0.7333333333333333,0.267
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,1.0,1.0,0.0
claude-sonnet-5,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,1.0,0.7,0.3
claude-sonnet-5,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",1.0,0.8571428571428571,0.143
claude-sonnet-5,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,1.0,0.3684210526315789,0.632
claude-sonnet-5,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,1.0,0.5,0.5
claude-sonnet-5,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,1.0,0.7857142857142857,0.214
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,1.0,0.75,0.25
claude-sonnet-5,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,1.0,0.5,0.5
claude-sonnet-5,GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,1.0,0.375,0.625
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",1.0,1.0,0.0
claude-sonnet-5,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,1.0,0.875,0.125
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,1.0,0.0,1.0
