check_id,model,contract,words,stratum,contract_path,judge_verdict,n_claims_to_check,purpose_field,researcher_any_error_found_yes_no,researcher_n_errors,researcher_route,researcher_minutes_spent,notes
REC-01,claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,1762,short,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,PASSED all 12 items,16,"FASC agrees to provide certain support services (performance attribution and administration/risk management) to the Adviser in connection with the Adviser's role as investment adviser/subadviser to registered investment companies and separate accounts, in exchange for fees.",,,,,
REC-02,deepseek-v4-pro,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,1762,short,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,PASSED all 12 items,11,"The Adviser engages FASC to provide specified services (performance attribution, administration and risk management) in connection with the Adviser's advisory or subadvisory services to investment accounts.",,,,,
REC-03,gemini-3.1-pro,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,1762,short,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,PASSED all 12 items,11,"The agreement establishes the terms under which FASC will provide performance attribution, administration, and risk management services to support the Adviser's role as an investment advisor to various accounts.",,,,,
REC-04,gpt-5.6-terra,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,1762,short,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,PASSED all 12 items,14,"FASC provides performance attribution, administration and risk-management support services to the Adviser in connection with the Adviser's investment advisory or subadvisory services to Accounts. The Adviser pays monthly service fees calculated under Exhibit B.",,,,,
REC-05,llama-3.3-70b,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,1762,short,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,PASSED all 12 items,10,"The agreement is for FASC to provide certain services to the Adviser in connection with the Adviser's services to investment companies and separate accounts. The services include performance attribution, administration, and risk management.",,,,,
REC-06,claude-sonnet-5,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,3435,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,PASSED all 12 items,25,"The contract establishes the maintenance and support services (standard and additional) that Sicap Ltd will provide to EuroTel for the SICAP(R) PPB, VCA and OTA software modules, replacing the prior Annex 7 support terms under the original Swisscom Purchase & License Contract.",,,,,
REC-07,deepseek-v4-pro,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,3435,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,PASSED all 12 items,13,"This agreement provides maintenance and support services for SICAP(R) modules PPB, VCA and OTA, replacing the previous Annex 7 of the original Swisscom Purchase & License Contract.",,,,,
REC-08,gemini-3.1-pro,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,3435,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,PASSED all 12 items,13,"This contract establishes the terms for Sicap Ltd to provide maintenance and support services to EuroTel for the SICAP(R) PPB, VCA, and OTA modules, replacing a previous annex to their original purchase and license agreement.",,,,,
REC-09,gpt-5.6-terra,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,3435,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,PASSED all 12 items,22,"This agreement replaces Annex 7 to the original Swisscom Purchase & License Contract and governs maintenance and support for SICAP(R) PPB, VCA and OTA modules. It covers standard hotline, telephone and remote support and change management, with additional support available separately.",,,,,
REC-10,llama-3.3-70b,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,3435,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,PASSED all 12 items,8,"The agreement is for the provision of maintenance and support services by Sicap Ltd to EuroTel for the SICAP(R) modules PPB, VCA, and OTA.",,,,,
