contract,stratum,word_count,strict_json_ok,parse_error,fields_ok,brief_json,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,short,109,True,,True,"{""parties"": [""ABP Trust (joint filer)"", ""Adam D. Portnoy (joint filer)""], ""purpose"": ""To agree that the Schedule 13G/A and any subsequent amendments regarding shares of Class A Common Stock of The RMR Group Inc. will be filed jointly on behalf of the undersigned parties."", ""key_obligations"": [""ABP Trust and Adam D. Portnoy mutually agree that the Schedule 13G/A and any signed amendments will be filed on behalf of each of them in accordance with Rule 13d-1(k) of the Securities Exchange Act of 1934.""], ""term"": ""not specified"", ""risks"": []}",,536,167,stop,12.89,0.00308,results/raw/20260825T120852__summary__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,short,302,True,,True,"{""parties"": [""deep systems (hosting provider)"", ""AstroNutrition.com (client)""], ""purpose"": ""This agreement is for the provision of premium managed web hosting, system administration, and technical support services for the AstroNutrition.com domain."", ""key_obligations"": [""deep systems must provide system administration, regular off-site backups, change management, and technical support with a 99 percent server uptime guarantee."", ""AstroNutrition.com must pay a monthly managed hosting fee of $175."", ""AstroNutrition.com must pay bandwidth overage fees of $20 for each 1 GB used beyond the included 10 GB per month."", ""deep systems must provide optional project management and custom software development services at a rate of $55 CAD per hour if requested.""], ""term"": ""12 months, beginning March 1, 2005 and ending February 28, 2006."", ""risks"": [""AstroNutrition.com is exposed to uncapped bandwidth overage fees of $20 per 1 GB over the 10 GB monthly limit."", ""deep systems provides a 99 percent server uptime guarantee, but the agreement does not specify any financial remedies or termination rights if this guarantee is breached."", ""The contract lacks standard commercial risk protections such as liability caps, indemnities, and early termination rights.""]}",,883,325,stop,16.09,0.00567,results/raw/20260825T120908__summary__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,short,529,True,,True,"{""parties"": [""National Football League Alumni - Northern California Chapter (NFLA-NC)"", ""National Football League Alumni, Inc. (NFLA)"", ""Food For Athletes, Inc. / Gridiron BioNutrients\u2122 (Company)""], ""purpose"": ""To amend the existing Endorsement Agreement by adding Gridiron CBD H2O Probiotic\u2122 Water to the list of Licensed Products and detailing the per-unit donation remuneration structure."", ""key_obligations"": [""Company: Pay a donation of $0.05 per unit of Licensed Products sold within the Contract Territory to the NFLA-NC on a quarterly basis."", ""Company: Provide the most recent quarterly sales report of Licensed Products to the NFLA-NC upon request."", ""NFLA-NC: Donate 15% of the proceeds received from the Company to the NFLA.""], ""term"": ""not specified"", ""risks"": []}",,1244,215,stop,12.99,0.00507,results/raw/20260825T120921__summary__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,short,756,True,,True,"{""parties"": [""Bank of America, N.A. (Bank of America)"", ""Cardlytics (Supplier)""], ""purpose"": ""A product license schedule to order software licenses for Cardlytics OPS Version 3.0, source code delivery, and maintenance services under a master agreement."", ""key_obligations"": [""Cardlytics (Supplier): Deliver the software, program materials, and source code under specified conditions."", ""Cardlytics (Supplier): Provide 24/7 maintenance services, training, and non-maintenance support services."", ""Bank of America: Pay specified fees for source code delivery triggered by user thresholds, performance metrics, or supplier breach."", ""Bank of America: Maintain its copy of the source code at a designated installation site.""], ""term"": ""The software license term is not specified. The initial maintenance term begins after a 120-day warranty period and lasts for 12 months, automatically renewing for successive 12-month periods unless terminated."", ""risks"": [""Bank of America has a unilateral right to terminate maintenance services for convenience at any time and can reinstate them without paying a reinstatement fee."", ""Bank of America has the right to obtain the source code if the Supplier materially breaches the agreement or fails to meet performance adjustments for six consecutive months.""]}",,1523,303,stop,15.44,0.00668,results/raw/20260825T120937__summary__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",short,903,True,,True,"{""parties"": [""EWSD 1, LLC, d/b/a/ SHI FARMS (Seller)"", ""Gridiron BioNutrients, Inc (Buyer)""], ""purpose"": ""This agreement establishes the terms for Shi Farms to sell and Gridiron to purchase 30,000 pounds of hemp biomass for a total purchase price of $150,000."", ""key_obligations"": [""Shi Farms must supply 30,000 lbs of hemp biomass containing a minimum of 6% CBD, less than 3% TCH, and free of unacceptable contaminants."", ""Gridiron must remit the $150,000 payment upon execution of the agreement."", ""Shi Farms must quarantine the product to ensure its safekeeping once payment is received."", ""Shi Farms must deliver product samples to a laboratory and the final biomass to a processor designated by Gridiron.""], ""term"": ""Not specified"", ""risks"": [""Unilateral termination right: Either party may terminate the agreement at any time prior to the delivery of the product."", ""One-sided indemnification: Gridiron must indemnify and hold Shi Farms harmless from any claims, losses, or expenses arising from Gridiron's breach of warranty or non-performance."", ""Confidentiality: Failure to return and protect confidential information after the agreement ends constitutes a material breach.""]}",,1562,321,stop,15.73,0.00698,"results/raw/20260825T120953__summary__gemini-3.1-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,1762,True,,True,"{""parties"": [""FEDERATED INVESTMENT MANAGEMENT COMPANY (Adviser)"", ""FEDERATED ADVISORY SERVICES COMPANY (FASC)""], ""purpose"": ""The agreement establishes the terms under which FASC will provide performance attribution, administration, and risk management services to support the Adviser's role as an investment advisor to various accounts."", ""key_obligations"": [""FASC must provide the services outlined in Exhibit A, including performance attribution and administration/risk management."", ""FASC must create, maintain, and provide access to all necessary books and records in compliance with applicable laws, including the Investment Company Act of 1940."", ""Adviser must pay FASC a monthly Services Fee calculated based on the cost of services, assets under management, and an applicable margin as detailed in Exhibit B."", ""Adviser must indemnify FASC against liabilities and expenses incurred while performing the services, provided FASC acted within the agreed standard of care.""], ""term"": ""Begins January 1, 2004, and continues until terminated by mutual agreement or by either party on at least 60 days' written notice. For registered investment companies receiving investment advisory services, the term continues year-to-year subject to annual Board approval and automatically terminates upon assignment or termination of the underlying Advisory Agreement."", ""risks"": [""FASC's liability is limited; it is not responsible for errors of judgment or mistakes of law, except for willful malfeasance, bad faith, gross negligence, or reckless disregard."", ""Adviser provides a broad indemnity to FASC for actions taken or omitted in performing the services."", ""Recourse is limited solely to the assets of the contracting parties; no claims can be made against shareholders, trustees, officers, employees, or agents."", ""Unilateral termination right for either party upon 60 days' written notice.""]}",,2619,422,stop,17.69,0.0103,results/raw/20260825T121010__summary__gemini-3.1-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,short,1849,True,,True,"{""parties"": [""The HUANG JIA Country CLUB and Recreation Inc. (Party A / Client)"", ""Chang Chen-Bin Architects Office (Party B / Architect)""], ""purpose"": ""The agreement is for outsourcing the development planning, architectural design, environmental impact assessment, and construction monitoring of the Miaoli Royal Resort Hotel."", ""key_obligations"": [""Party A must pay the agreed service fees in 10 stages, totaling NTD 12 million for Parts I-VI and 3.5% of the legal construction cost for Part VII."", ""Party A must provide necessary project data, including land rights and developer information."", ""Party B must complete architectural development plans, soil and water conservation plans, environmental impact assessments, and landscaping designs."", ""Party B must perform construction monitoring, follow Party A's instructions, ensure legal compliance, and regularly report progress.""], ""term"": ""Not specified for overall expiration or renewal; however, the contract outlines estimated durations for specific project phases."", ""risks"": [""If the contract cannot be performed for reasons not attributable to Party B, fees paid by Party A are non-refundable."", ""Party A is liable for extra service fees if it requires comprehensive modifications to the development plan."", ""The agreed service fee excludes several costs (e.g., land measurement, geological drilling, administrative reviews), which may result in additional expenses for Party A."", ""Mandatory arbitration in Miaoli County applies if disputes are not resolved by negotiation within one month.""]}",,2924,345,stop,20.14,0.00999,results/raw/20260825T121030__summary__gemini-3.1-pro__ImperialGardenResortInc_20161028_DRS_(on.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,short,2320,True,,True,"{""parties"": [""Yaskawa Electric Corporation (YEC) (collaborator, investor, and exclusive distributor)"", ""Argo Medical Technologies Ltd. (ARGO) (collaborator and product developer)""], ""purpose"": ""To establish a strategic alliance for the evaluation, development, marketing, and commercialization of healthcare robotics products, including the exclusive distribution of ARGO's products by YEC and the improvement of ARGO's products using YEC's expertise."", ""key_obligations"": [""Both parties: Enter into a separate Share Purchase Agreement (SPA), Distribution Agreement (DA), and a new Confidentiality and Non-Disclosure Agreement (New NDA)."", ""Both parties: Form a Joint Steering Committee meeting at least four times per year to review progress, set targets, and discuss improvements and future R&D."", ""Both parties: Refrain from soliciting or hiring the other party's personnel during the collaboration and for 12 months following its expiration or termination."", ""ARGO: Appoint YEC as the exclusive distributor of its products in the specified territory, pursuant to the DA."", ""YEC: Purchase Series D-1 Convertible Preferred Shares of ARGO, pursuant to the SPA."", ""YEC: Market and distribute ARGO's products in a professional manner, pursuant to the DA.""], ""term"": ""Initial term of 10 years from September 24, 2013. Renewable by written agreement at least 30 days before expiration. After the 7th anniversary, either party may terminate upon 60 days' prior written notice."", ""risks"": [""Unilateral termination right: Either party may terminate the agreement without cause upon 60 days' notice anytime after the 7th anniversary."", ""Exclusivity: ARGO is bound to appoint YEC as its exclusive distributor in the specified territory under the concurrent Distribution Agreement."", ""IP Warranty Disclaimer: All intellectual property is provided 'as is' without any express or implied warranties, including merchantability, fitness for a particular purpose, and non-infringement."", ""Non-solicitation restriction: Both parties are restricted from hiring the other's personnel for 12 months post-termination, enforceable by specific performance and injunctive relief without the requirement to post a bond."", ""Fee shifting: The defaulting or losing party in any litigation must reimburse the prevailing party for all costs and expenses, including attorney's fees.""]}",,3582,544,stop,20.42,0.01369,results/raw/20260825T121051__summary__gemini-3.1-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,2438,True,,True,"{""parties"": [""Morgan Stanley Investment Management Inc. (Licensor)"", ""Morgan Stanley Direct Lending Fund (Licensee)""], ""purpose"": ""To grant the Licensee a non-exclusive, non-transferable license to use the 'Morgan Stanley' trademark and design solely to state in public filings, offering materials, and press releases that investment advisory services are provided by the Licensor or its affiliates."", ""key_obligations"": [""Licensor: Grants the license to use the Brand for the Permitted Activity."", ""Licensee: Must submit all proposed uses of the Brand to the Licensor for prior written approval."", ""Licensee: Must maintain quality control consistent with the Licensor's standards and comply with all applicable laws and industry practices."", ""Licensee: Must promptly notify the Licensor of any actual or threatened infringement of the Brand."", ""Licensee: Must defend and indemnify the Licensor against third-party claims arising from breaches, business operations, or unauthorized use of the Brand."", ""Licensee: Must not challenge the Licensor's ownership of the Brand or attempt to register any mark containing the Brand.""], ""term"": ""Perpetual, commencing on the Effective Date, unless terminated earlier pursuant to the agreement's termination provisions."", ""risks"": [""Licensor has a unilateral right to terminate the agreement for convenience immediately upon written notice."", ""Automatic termination occurs if the investment advisory agreement ends or the advisor ceases to be an affiliate of the Licensor."", ""Licensor disclaims all warranties, including non-infringement and fitness for use, providing the license strictly on an 'as-is' basis."", ""Mutual waiver of liability for special, indirect, consequential, punitive, or incidental damages."", ""Broad indemnification obligations are imposed on the Licensee."", ""Strict assignment restrictions stipulate that a merger or change of control is deemed an assignment requiring Licensor's prior written consent; violations are void ab initio and trigger immediate termination."", ""All goodwill inures solely to the Licensor, and the Licensee must irrevocably assign any deemed rights in the Brand to the Licensor.""]}",,3903,480,stop,19.85,0.01357,results/raw/20260825T121111__summary__gemini-3.1-pro__MorganStanleyDirectLendingFund_20191119_.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,short,2765,True,,True,"{""parties"": [""Physician Sales & Service, Inc. (PSS)"", ""Various shareholders of Gulf South Medical Supply, Inc. (Undersigned/Affiliates)""], ""purpose"": ""To restrict the transfer and disposition of PSS stock received by Gulf South Medical Supply affiliates pursuant to a merger, ensuring compliance with SEC regulations and preserving the transaction's status as a tax-free reorganization."", ""key_obligations"": [""Undersigned: Refrain from selling, transferring, or reducing risk relative to PSS shares until PSS notifies them that post-merger financial results have been published."", ""Undersigned: Hold the shares for their own account and avoid disposing of them in a way that would violate the 'continuity of interest' requirement for a tax-free reorganization."", ""PSS: Publish post-merger financial results within 45 days after the end of the first fiscal quarter containing the required period of combined operations."", ""PSS: File all required SEC reports for three years following the merger's effective date to allow for Rule 145(d) transfers."", ""PSS: Remove restrictive legends from the Undersigned's stock certificates upon request once SEC transfer requirements are met.""], ""term"": ""Not specified, though the agreement imposes a 3-year post-merger SEC reporting obligation on PSS."", ""risks"": [""The Undersigned's shares are unregistered and subject to strict lock-up restrictions, stop transfer instructions, and restrictive legends."", ""PSS explicitly states it has no obligation to file a registration statement covering the disposition of the Undersigned's shares."", ""Affiliates who become PSS directors or officers face potential liability under Section 16(b) of the Securities Exchange Act if they sell PSS stock within six months of the merger.""]}",,4805,413,stop,21.75,0.01457,results/raw/20260825T121133__summary__gemini-3.1-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-.txt
