check_id,contract,stratum,word_count,n_obl_deep,n_obl_shallow,extra_obligations,gpt-5.6-terra_obligations,deepseek-v4-pro_obligations,n_matched,n_material,n_minor,n_padding,notes
DEP-01,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,short,2320,11,7,4,"YEC and ARGO must enter into a separate Share Purchase Agreement and Distribution Agreement concurrently with this agreement, subject to the stated conditions. | YEC must purchase ARGO Series D-1 Convertible Preferred Shares on the terms and conditions of the separate Share Purchase Agreement. | Subject to the Distribution Agreement, ARGO must appoint YEC as exclusive distributor of ARGO products in the territory specified in that agreement. | Subject to the Distribution Agreement, YEC must market and distribute ARGO products professionally. | YEC and ARGO must establish a Joint Steering Committee and meet at least quarterly to discuss the specified commercial, development, manufacturing, improvement and licensing opportunities. | Each party must appoint and maintain a contact person available on reasonable notice for coordination under the agreement. | Neither party may use, copy, modify or license the other party's intellectual property without prior written consent, except as expressly provided. | Before either party uses the other's intellectual property in a mutually agreed joint design, development, improvement or modification project, the parties must negotiate in good faith toward appropriate licence agreement(s). | YEC and ARGO must execute and comply with a new confidentiality and non-disclosure agreement regarding confidential information disclosed under this agreement. | Each party must not attempt to hire or engage the other's employees or independent contractors during collaborative efforts and for 12 months after their expiry or termination, unless mutually agreed in writing. | Neither party may assign or transfer the agreement without the other party's prior written consent.","YEC: Purchase Series D-1 Convertible Preferred Shares of ARGO under a separate Share Purchase Agreement (SPA). | ARGO: Appoint YEC as exclusive distributor of its products in the territory specified in the Distribution Agreement (DA). | YEC: Market and distribute ARGO's products in a professional manner under the DA. | Both parties: Form a Joint Steering Committee (JSC) that meets at least four times per year to review progress, set sales targets, discuss improvements, R&D responsibilities, licensed manufacturing, and quality improvements. | Both parties: Sign and comply with a new Confidentiality and Non-Disclosure Agreement (New NDA). | Both parties: Not solicit or hire each other's employees or independent contractors during the collaboration and for 12 months after termination. | Both parties: Coordinate through designated contact persons.",,,,,
DEP-02,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,short,756,8,3,5,"Supplier must provide the licensed Cardlytics OPS software, installation and operational guides, and the specified platform components under the Agreement. | Supplier must provide no-charge maintenance from the Delivery Date through the Warranty Period; the stated maintenance coverage is 24 hours per day, 7 days per week, including Bank of America holidays. | Supplier must provide the first paid maintenance term for 12 months after the Warranty Period, with subsequent 12-month renewals unless Bank of America terminates maintenance under the Agreement. | Supplier must provide source code in the circumstances and for the payments stated in the schedule, including upon specified performance failures or material breach. | Bank of America must maintain its copy of source code at the designated source-code installation site, although that address is TBD. | Bank of America may pay maintenance fees during the initial and renewal maintenance terms in the payment increments described in the Agreement; however, the schedule states that software license and maintenance are provided at no charge. | Supplier is to provide training in connection with installation of the first software copy, but the training date is not specified. | Installation support is to be handled under a separate agreement; non-maintenance support is to be provided at the Price List time-and-materials rates.","Cardlytics: deliver the licensed software and program materials, provide installation support (to be handled in a separate agreement), provide training classes, and provide maintenance services 24/7 during the maintenance period. | Bank of America: pay for source code delivery and maintenance as specified in the payment schedule (though software license and maintenance are stated as no charge). | Cardlytics: provide no-charge maintenance from delivery through the warranty period (120 days), then paid maintenance for an initial 12-month term with automatic renewals unless terminated.",,,,,
DEP-03,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,short,302,6,4,2,"Deep Systems must manage the SMTP, IMAP, DNS, SQL database and HTTP server software and systems for the AstroNutrition.com domain and website, including regular off-site backups of the website and database. | Deep Systems must manage site source code and integrate contributed software updates and bug fixes into Zen Cart. | Deep Systems must provide 24/7 emergency telephone support and respond to non-critical email issues within one business day. | Deep Systems must provide a 99% server uptime guarantee. | AstroNutrition.com must pay managed hosting fees of CAD $175 per month, billed on the first day of each month, and bandwidth overage charges of CAD $20 per 1 GB above 10 GB in a month. | AstroNutrition.com must pay CAD $55 per hour for external-development project management and for custom software development, where such services are provided.","deep systems: provide system administration for SMTP, IMAP, DNS, SQL database, and HTTP server software, including regular off-site backups | deep systems: manage site source code and integrate software updates and bug fixes into zencart | deep systems: provide 24x7 emergency phone support and 1-business-day email response on non-critical issues, with a 99% server uptime guarantee | AstroNutrition.com: pay $175 per month for 12 months, plus overages of $20 per 1 G of bandwidth beyond 10 G per month",,,,,
DEP-04,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,short,2765,11,10,1,"Each undersigned must not sell, transfer, otherwise dispose of, or reduce risk in the PSS shares received in the merger until PSS notifies them that the ASR 130 and 135 requirements have been met. | PSS must publish the required post-merger combined operating results as promptly as practicable in its sole discretion, and in any event within 45 days after the end of the first PSS fiscal quarter containing the required post-merger period; PSS must promptly notify each undersigned after publication. | Each undersigned represents that the merger shares are acquired for that person's own account and not for others. | Each undersigned must comply with applicable registration requirements, Rule 145(d), or another available Securities Act exemption for any disposition of PSS shares. | Each undersigned represents that, during the 30 days before the merger effective time, they did not dispose of or reduce risk in GSMS shares beneficially owned as of the shareholder-meeting record date. | Each undersigned must treat the merger as tax-free for federal income-tax purposes consistently with PSS and represents no prearranged plan or intent to dispose of PSS shares in a manner that would defeat the stated continuity-of-interest requirement. | PSS must place stop-transfer instructions with its transfer agent and impose the stated restrictive legend on merger-share certificates and applicable replacement or recapitalization certificates. | PSS must, upon request, reissue certificates without the ASR 130 and 135 restriction legend as soon as practicable after those requirements are met. | PSS must, upon request and receipt of its counsel's opinion, reissue certificates without Rule 144/145(d) restriction legends if the relevant rules are amended to eliminate the restrictions or the Rule 145(d) restrictive period has expired. | PSS must file timely Exchange Act Section 13 reports for three years after the merger effective date so that the public-information condition of Rule 145(d) is available. | An undersigned seeking a transfer during the Rule 145(d) restrictive period must provide a representation letter and reasonably requested information to PSS's transfer agent; if PSS counsel concludes the transfer complies with Rule 145(d), PSS must cause counsel to provide necessary transfer-agent opinions.","Each affiliate agrees not to sell, transfer, or dispose of PSS shares received in the merger until PSS publishes combined financial results meeting ASR 130 and 135 requirements (within 45 days after the first fiscal quarter end). | Each affiliate represents that PSS shares are taken for their own account and not for others. | Each affiliate acknowledges that PSS shares are not registered and can only be sold under registration, Rule 145(d), or another exemption; PSS has no obligation to register the shares. | Each affiliate warrants that during the 30 days before the merger effective time, they have not sold or disposed of GSMS shares. | Each affiliate agrees to treat the merger as tax-free under Section 368 and not to sell PSS shares in a way that would violate the continuity-of-interest requirement. | PSS agrees to place stop-transfer instructions and a restrictive legend on the PSS share certificates. | PSS agrees to reissue certificates without the ASR 130/135 legend once those requirements are met, and without the Rule 144/145 legend upon expiration of the restrictive period or if rules change, subject to counsel opinion. | PSS agrees to file all required reports under Section 13 of the Exchange Act for three years after the merger to keep Rule 145(d) available. | If an affiliate wants to sell under Rule 145(d), they must provide a representation letter and information to the transfer agent; PSS's counsel will provide opinions if the sale complies. | The restrictions apply to shares beneficially owned by the affiliate, including shares held by spouse, relatives, trusts, or entities in which the affiliate has at least a 10% interest.",,,,,
DEP-05,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",short,903,8,5,3,"Shi Farms must supply 30,000 pounds of biomass meeting the stated CBD/CBDA minimum, THC maximum, and contamination standards. | Gridiron must purchase the biomass and remit payment upon execution of the agreement once the parties have agreed to the transaction. | Shi Farms must use best efforts to quarantine the product after receiving payment until the parties' agreed delivery date. | Shi Farms must ship product samples to a laboratory designated by Gridiron if Gridiron requires third-party biomass analysis for processing. | Shi Farms must deliver the biomass, in the required condition, to the processor designated by Gridiron. | Each party must provide written notices using the specified delivery methods. | Each party must protect the other party's confidential information and, when the agreement ends, return copies and take reasonable measures to prevent representatives from retaining or disclosing it. | Gridiron and its affiliated parties must indemnify and hold Shi Farms harmless for specified losses and expenses arising from inaccuracies or breaches of representations or warranties, non-performance, or obligations incurred by Gridiron and its affiliated parties.","Shi Farms: sell and deliver 30,000 lbs of hemp biomass with minimum 6% total CBD/CBDA, less than 3% total THC, and free of contaminants above industry standards. | Gridiron: pay $150,000 upon execution of the agreement. | Shi Farms: quarantine product after payment to ensure safe keeping until delivery. | Shi Farms: ship product samples to a laboratory designated by Gridiron if testing is required. | Shi Farms: deliver biomass to the processor determined by Gridiron.",,,,,
DEP-06,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,short,2848,11,7,4,"Licensee must pay Licensor royalties on revenues received for Licensed Products and related maintenance, support and upgrade services at the applicable Specified Royalty Percentage. | Licensee must make quarterly Royalty Advances beginning with its fiscal year starting April 1, 1999, each equal to 25% of the applicable Annual Royalty Advance Requirement. | Licensee must pay royalty amounts exceeding outstanding Royalty Advances by the later of 60 days after the applicable customer or redistributor invoice or five business days after Licensee receives the corresponding payment. | Licensee must pay 10% annual interest on royalty payments not paid when due. | Licensor must credit outstanding Royalty Advances against royalties as royalties are recognized as earned under generally accepted accounting principles. | Licensor must repay Licensee all outstanding Royalty Advances upon expiration or termination of the agreement. | Either Licensor or Licensee seeking termination for uncured default must give written notice specifying the default and allow 30 days to cure. | Licensor or any Licensor stockholder wishing to accept a bona fide offer to transfer Licensor stock or assets must first give Licensee an Offering Notice and permit Licensee 90 days to exercise its right of first refusal. | Skunkware and Licensor must honor Licensee's exclusive, irrevocable option to purchase all Licensor assets or all outstanding Licensor stock during the Option Period. | Following Licensee's exercise of the option, Licensee and Licensor or Skunkware must diligently and in good faith negotiate and execute a definitive purchase agreement; unresolved terms are to be submitted to AAA arbitration. | While the option exists, Licensor must operate in the ordinary course and may not undertake specified extraordinary transactions without Licensee's prior written consent; Skunkware must remain Licensor's sole stockholder and Licensor may not issue equity interests to others.","Licensee must pay annual royalty advances of $1,000,000 (FY1999) escalating by $1,000,000 each year to $5,000,000 (FY2003), and thereafter increasing by $1,000,000 per fiscal year. | Licensee must pay royalties equal to the Specified Royalty Percentage (50% or 40% after a Satisfaction Date) of revenues from sublicenses and maintenance/support services. | Licensee must pay excess royalties within 60 days of invoice or 5 business days after receipt of payment, with interest at 10% per annum on late payments. | Licensor must repay outstanding Royalty Advances upon expiration or termination of the agreement. | Licensor grants exclusive distribution rights (except for its Partitioned Database Facility product, which may also be licensed to IBM). | Licensor and Skunkware grant Licensee a right of first refusal on any sale of Licensor's stock or assets, and an option to purchase all assets or stock of Licensor, exercisable after certain conditions. | Skunkware agrees to remain sole stockholder of Licensor and not to issue securities to others while the option is in existence.",,,,,
DEP-07,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",medium,7145,18,11,7,"Fleet must manufacture, supply and deliver Product ordered by Columbia in accordance with binding purchase orders in Production Schedules, applicable specifications, applicable law, cGMP and other contractual requirements. | Columbia must provide Production Schedules at the specified intervals; the initial specified period of each schedule is a binding purchase order, while later forecast periods are non-binding good-faith estimates. | Fleet may subcontract only with Columbia's prior written consent, not to be unreasonably withheld, delayed or conditioned; Fleet remains solely liable for subcontracted obligations. Columbia may subcontract without Fleet's consent. | Fleet must maintain manufacturing facilities compliant with applicable ANVISA standards throughout the term and must notify Columbia of Product-related regulatory filings and relevant changes to batch manufacturing records. | Fleet must give Columbia reasonable notice of, and consult Columbia before, material changes to the Product manufacturing process. | Fleet must order the specified Raw Materials, maintain sufficient stocks and timely release them for manufacturing, comply with retest/expiry requirements, and notify Columbia of non-conforming Raw Materials within the stated investigation timeframe. | Columbia must provide the specified Raw Materials and bears retesting costs for Raw Materials it supplies. | The parties must negotiate in good faith and document agreed supply key performance indicators in a further amendment. | Fleet must protect, mark, maintain, operate and keep Columbia-owned equipment in good working order, free of liens and encumbrances, and use it only to manufacture Product for Columbia unless Columbia consents otherwise. | Columbia must pay the reasonable agreed costs of maintaining Columbia Equipment and of overhauls, replacements and repairs it reasonably instructs, except where loss or damage results from Fleet-side negligence or wilful misconduct. | Fleet must prepare annual maintenance plans and reports for Columbia Equipment, provide requested maintenance reports, and build adequate Product stock ahead of equipment overhauls to preserve supply continuity. | Fleet must deliver Product EXW its Watford facility; risk passes to Columbia when its designated carrier receives Product at Fleet's facility. | Fleet must permit Columbia, its appointees, customers and regulatory authorities to audit relevant manufacturing facilities, equipment, quality systems and Product records, subject to the stated notice arrangements. | Columbia must pay Fleet's properly issued Product invoices in pounds sterling within the stated redacted payment period after receipt. | Both parties must maintain specified general and product-liability insurance, including cover for Columbia Equipment liabilities, during the term and for the stated post-termination minimum period. | Both parties must protect the other party's Confidential Information, subject to permitted disclosures, and obtain appropriate confidentiality commitments from permitted recipients. | Both parties must comply with applicable anti-bribery, anti-corruption and export-control laws and maintain and enforce appropriate compliance policies. | Following specified termination events, Fleet must provide reasonable transition assistance and continue supply as necessary to transfer manufacture; Columbia must reimburse Fleet's reasonable assistance costs and specified inventory/work-in-progress costs.","Fleet must comply with ANVISA standards and notify Columbia of changes to batch manufacturing records or manufacturing processes. | Fleet may subcontract with Columbia's prior written consent, but remains liable; Columbia may subcontract without consent. | Fleet must maintain and operate Columbia-owned equipment per cGMP/GDP, provide maintenance plans/reports, and keep equipment free of liens. | Columbia must provide production schedules; amounts for the first period are binding purchase orders, later periods are non-binding forecasts. | Fleet must deliver products EXW its Watford facility; risk passes to Columbia upon carrier receipt. | Columbia must pay invoices within a specified period (redacted) in pounds sterling. | Both parties must maintain specified insurance coverage. | Fleet must indemnify Columbia for certain breaches and manufacturing failures; Columbia must indemnify Fleet for post-delivery product liability and IP claims. | Both parties must keep confidential information confidential for 5 years after termination, with permitted disclosures. | Both parties must comply with anti-bribery laws and maintain compliance policies. | Fleet must assist with technology transfer and continued supply upon termination if requested by Columbia.",,,,,
DEP-08,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,medium,5780,13,8,5,"Diplomat must pay KI, Inc. royalties on net wholesale volume and the agreed minimum royalty guarantees, with monthly sales statements and payments of royalties exceeding applicable minimums. | Diplomat must keep accurate records, permit KI, Inc. to audit quarterly on reasonable notice, and provide an accountant's sales statement if demanded. | Diplomat must diligently and continuously manufacture, distribute and sell the licensed products, maintain adequate distribution arrangements, and begin commercial manufacture or distribution of sunglasses and ophthalmic frames within three months. | Diplomat must obtain and maintain approved product-liability insurance, naming KI, Inc. and Kathy Ireland as insured parties, before distribution or sale of products. | Diplomat must indemnify, defend and hold KI, Inc. and Kathy Ireland harmless from claims concerning unauthorized intellectual-property use, product defects and other alleged actions by Diplomat. | Diplomat must submit product samples, packaging, labels, notices, advertising, promotional and display materials for KI, Inc.'s approval where required, and must not materially depart from approved product quality or style. | Diplomat must use required copyright, trademark and other notices on products and promotional materials and cooperate with KI, Inc. to protect rights in Kathy Ireland's name. | Diplomat must obtain KI, Inc.'s prior written approval before radio or television advertising or publicity and before certain promotional, tie-in, premium, giveaway or related distribution arrangements. | Diplomat must fund Kathy Ireland's required travel, first-class accommodation, entourage expenses, hair and make-up assistance, photo-session retouching, and specified SW production fees. | KI, Inc. must arrange for Kathy Ireland to endorse the eyewear, use best efforts to wear it when reasonably appropriate, make one Vision Expo appearance per license year subject to her schedule and availability, and participate in up to two photo sessions and one video production session per license year subject to stated scheduling limits. | SW must produce the agreed photo sessions and video production sessions, subject to Diplomat's reasonable written approval. | Diplomat must comply with applicable labor and safety laws and regulations in manufacturing locations and subcontracting territories, and comply with KI, Inc.'s reasonable requests concerning labor and safety resolutions. | Diplomat may not assign, mortgage, sublicense or otherwise encumber the agreement or its rights without KI, Inc.'s written consent.","Diplomat must pay royalties to KI Inc. based on net wholesale volume, with minimum royalty guarantees for each license year. | Diplomat must provide periodic sales statements and royalty payments to KI Inc. | KI Inc. grants Diplomat an exclusive license for specified eyewear products worldwide. | KI must endorse KI Eyewear and make personal appearances and participate in photo and video sessions as specified. | Diplomat must obtain product liability insurance and indemnify KI Inc. and KI against certain claims. | Diplomat must comply with quality standards and obtain KI Inc.'s approval for products and promotional materials. | Diplomat must keep accurate records and allow KI Inc. to inspect them. | Diplomat must not assign or sublicense its rights without KI Inc.'s consent.",,,,,
DEP-09,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,medium,4870,12,8,4,"Developer: perform the services and provide deliverables and documentation in accordance with the applicable SOW, specifications and delivery schedule. | Developer: provide milestone deliverables, including source and object code compatible with the SOW platforms, for Client testing by each acceptance-test date. | Client: provide reasonably requested assistance, information and documentation needed for the project, and conduct acceptance tests in good faith without unreasonably delaying acceptance. | Client: submit written change requests for non-conforming milestone deliverables within 10 days of the applicable acceptance-test date; absent a timely request, the deliverable is deemed accepted. | Developer: correct deficiencies identified in a valid milestone change request within 20 days, and correct final-deliverable deficiencies within 15 days. | Client: pay fees under the applicable SOW payment schedule, plus any agreed expenses and bonus; undisputed non-payment is a material breach. | Client: submit requests for work outside an SOW through a written change order; Developer need not perform changed work until an amended SOW or change order is executed. | Developer: evaluate a requested change order within five days and state the fee, schedule and resource impacts. | Developer: transfer the works to Client upon termination, subject to the intellectual-property provisions, and provide requested termination assistance for up to three months at additional cost. | Each party: protect the other party's confidential information, refrain from unauthorized use or disclosure, and notify the other of actual or suspected misuse or unauthorized disclosure. | Client: indemnify Developer for specified claims relating to Client breach, Client-customer agreements, Client misconduct or legal violations, and third-party-right claims against Client. | Developer: indemnify Client for specified claims relating to Developer material breach, misconduct or legal violations, and third-party IP claims concerning the Subject Program.","Developer must design, develop, and deliver the Subject Program and related deliverables per the SOW and Specifications. | Client must perform Acceptance Tests within specified timeframes and notify Developer of any Change Requests within 10 days of the Acceptance Test Date. | Developer must correct deficiencies identified in Change Requests within 20 days (or 15 days for final deliverable) and provide modified deliverables for re-testing. | Client must pay Fees according to the Fee Payment Schedule in the SOW, and may owe a Bonus if Developer completes early. | Client must provide necessary information and assistance to Developer for the project. | Developer must transfer all Works to Client upon full payment, as work made for hire. | Both parties must maintain confidentiality of each other's Confidential Information and notify of any suspected disclosure. | Client must indemnify Developer for certain claims, and Developer must indemnify Client for certain claims, including IP infringement.",,,,,
DEP-10,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,medium,3435,10,5,5,"Sicap Ltd must provide the standard service, including incident hotline support, up to 20 hours of telephone support per month during office hours, remote support via ISDN where applicable, and change management. | Sicap Ltd must meet the stated hotline response times: four hours for emergency requests at all times; four hours for high-priority requests during working hours; the next working day for medium priority; and the day after the next working day for low priority. | Sicap Ltd must use every effort in an emergency to restore the SICAP(R) application within 24 hours after response, including temporary workarounds; if unsuccessful within the stated emergency process timing, its responsible personnel must travel on-site by the next available flight or train to manage recovery. | Sicap Ltd must assess requests for change, provide quotations and schedules, and coordinate and report progress weekly; after EuroTel orders on the basis of a quotation, Sicap Ltd must implement the change to the agreed schedule. | EuroTel must perform initial fault tracing and first-level maintenance for the entire prepaid system, including application, database, system, hardware and operating-system administration. | EuroTel must ensure its personnel are adequately trained and limit hotline and GNATS access to up to five designated, trained system administrators. | EuroTel must report each incident by hotline and GNATS without delay, provide specified incident details and requested logs or system information, and open ISDN remote access when requested by Sicap Ltd. | EuroTel must accept or decline change quotations and delivery plans and accept implemented changes. | EuroTel must pay maintenance fees semi-annually in advance, pay invoices within 30 days, pay applicable Slovak VAT, and pay separately quoted additional-support charges and travel/accommodation costs where applicable. | EuroTel must cooperate with Sicap Ltd, provide timely necessary information, maintain suitable system-site conditions, prevent specified installation and misuse issues, provide site access subject to its security rules, and maintain current administrator contact details.","Sicap Ltd: provide standard services including hotline support, 20 hours of telephone support per month, remote support via ISDN, and change management. | EuroTel: perform first-level maintenance and initial fault tracing, ensure adequate training of its personnel, and provide required information and access to Sicap Ltd. | EuroTel: pay maintenance and support fees semi-annually in advance, plus additional costs for travel and accommodation and for support outside standard service. | Sicap Ltd: respond to incidents within specified response times based on priority, and in emergencies make efforts to restore service within 24 hours. | EuroTel: notify Sicap Ltd of incidents via the GNATS trouble ticket tool and hotline, and provide supplementary information and remote access on request.",,,,,
