model,contract,category,stratum,words,tp,n_pred,n_gold,parse_ok,strict_json_ok,gold_yes,pred_yes,yn_correct
claude-sonnet-5,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,short,109,0,0,0,True,True,,,
claude-sonnet-5,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,short,109,0,0,0,True,True,,,
claude-sonnet-5,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,short,109,0,0,0,True,True,False,False,True
claude-sonnet-5,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,short,109,0,0,0,True,True,False,False,True
claude-sonnet-5,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,short,109,0,0,0,True,True,False,False,True
claude-sonnet-5,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,short,109,0,0,0,True,True,False,False,True
claude-sonnet-5,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,short,302,0,0,0,True,True,,,
claude-sonnet-5,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,short,302,1,1,1,True,True,,,
claude-sonnet-5,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,short,302,0,0,0,True,True,False,False,True
claude-sonnet-5,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,short,302,0,0,0,True,True,False,False,True
claude-sonnet-5,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,short,302,0,0,0,True,True,False,False,True
claude-sonnet-5,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,short,302,0,0,0,True,True,False,False,True
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Governing Law,short,529,0,0,0,True,True,,,
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Expiration Date,short,529,0,0,0,True,True,,,
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Termination For Convenience,short,529,0,0,0,True,True,False,False,True
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Cap On Liability,short,529,0,0,0,True,True,False,False,True
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Ip Ownership Assignment,short,529,0,0,0,True,True,False,False,True
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Non-Compete,short,529,0,0,0,True,True,False,False,True
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Governing Law,short,756,0,0,0,True,True,,,
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Expiration Date,short,756,0,0,1,True,True,,,
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Termination For Convenience,short,756,1,1,1,True,True,True,True,True
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Cap On Liability,short,756,0,0,0,True,True,False,False,True
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Ip Ownership Assignment,short,756,0,0,0,True,True,False,False,True
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Non-Compete,short,756,0,0,0,True,True,False,False,True
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Governing Law,short,903,1,1,1,True,True,,,
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Expiration Date,short,903,0,0,0,True,True,,,
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Termination For Convenience,short,903,1,1,1,True,True,True,True,True
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Cap On Liability,short,903,0,0,0,True,True,False,False,True
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Ip Ownership Assignment,short,903,0,0,0,True,True,False,False,True
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Non-Compete,short,903,0,0,0,True,True,False,False,True
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Governing Law,short,1762,1,1,1,True,True,,,
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Expiration Date,short,1762,1,1,2,True,True,,,
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Termination For Convenience,short,1762,0,2,0,True,True,False,True,False
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Cap On Liability,short,1762,1,2,1,True,True,True,True,True
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Ip Ownership Assignment,short,1762,0,0,0,True,True,False,False,True
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Non-Compete,short,1762,0,0,0,True,True,False,False,True
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Governing Law,short,1849,1,1,1,True,True,,,
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Expiration Date,short,1849,0,0,0,True,True,,,
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Termination For Convenience,short,1849,0,0,0,True,True,False,False,True
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Cap On Liability,short,1849,0,1,0,True,True,False,True,False
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Ip Ownership Assignment,short,1849,0,0,0,True,True,False,False,True
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Non-Compete,short,1849,0,0,0,True,True,False,False,True
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Governing Law,short,2320,1,1,1,True,True,,,
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Expiration Date,short,2320,1,1,1,True,True,,,
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Termination For Convenience,short,2320,1,1,2,True,True,True,True,True
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Cap On Liability,short,2320,0,0,0,True,True,False,False,True
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Ip Ownership Assignment,short,2320,0,0,0,True,True,False,False,True
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Non-Compete,short,2320,0,0,0,True,True,False,False,True
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Governing Law,short,2438,1,1,1,True,True,,,
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Expiration Date,short,2438,1,1,1,True,True,,,
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Termination For Convenience,short,2438,1,2,1,True,True,True,True,True
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Cap On Liability,short,2438,1,1,1,True,True,True,True,True
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Ip Ownership Assignment,short,2438,2,2,2,True,True,True,True,True
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Non-Compete,short,2438,0,0,0,True,True,False,False,True
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Governing Law,short,2765,1,1,1,True,True,,,
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Expiration Date,short,2765,0,0,0,True,True,,,
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Termination For Convenience,short,2765,0,0,0,True,True,False,False,True
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Cap On Liability,short,2765,0,0,0,True,True,False,False,True
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Ip Ownership Assignment,short,2765,0,0,0,True,True,False,False,True
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Non-Compete,short,2765,0,0,0,True,True,False,False,True
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Governing Law,short,2848,1,1,1,True,True,,,
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Expiration Date,short,2848,1,1,1,True,True,,,
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Termination For Convenience,short,2848,0,0,0,True,True,False,False,True
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Cap On Liability,short,2848,0,1,0,True,True,False,True,False
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Ip Ownership Assignment,short,2848,0,0,0,True,True,False,False,True
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Non-Compete,short,2848,0,0,0,True,True,False,False,True
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Governing Law,short,2851,0,0,0,True,True,,,
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Expiration Date,short,2851,1,1,1,True,True,,,
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Termination For Convenience,short,2851,0,0,0,True,True,False,False,True
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Cap On Liability,short,2851,0,0,0,True,True,False,False,True
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Ip Ownership Assignment,short,2851,0,2,0,True,True,False,True,False
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Non-Compete,short,2851,0,0,0,True,True,False,False,True
claude-sonnet-5,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Governing Law,short,2909,0,0,0,True,True,,,
claude-sonnet-5,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Expiration Date,short,2909,2,2,2,True,True,,,
claude-sonnet-5,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Termination For Convenience,short,2909,2,2,2,True,True,True,True,True
claude-sonnet-5,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Cap On Liability,short,2909,0,0,0,True,True,False,False,True
claude-sonnet-5,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Ip Ownership Assignment,short,2909,0,0,0,True,True,False,False,True
claude-sonnet-5,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Non-Compete,short,2909,2,3,2,True,True,True,True,True
claude-sonnet-5,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,medium,2955,1,1,1,True,True,,,
claude-sonnet-5,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,medium,2955,1,1,1,True,True,,,
