task,model,D1_completeness,D2_trustworthiness,D3_cost,D4_speed,D5_operational_reliability
extraction,claude-sonnet-5,1.0,0.6130434782608695,0.0,0.6943127962085308,1.0
extraction,deepseek-v4-pro,0.044642857142857185,1.0,1.0,1.0,1.0
extraction,gemini-3.1-pro,0.3303571428571422,0.8043478260869565,0.4747619047619047,0.0,0.8827683615819212
extraction,gpt-5.6-terra,0.4732142857142852,0.3275362318840577,0.44761904761904764,0.5592417061611374,0.8827683615819212
extraction,llama-3.3-70b,0.0,0.0,0.8609523809523809,0.8933649289099526,0.0
qa,claude-sonnet-5,0.0,0.0,0.0,0.79375,1.0
qa,deepseek-v4-pro,0.8340000000000003,1.0,1.0,1.0,1.0
qa,gemini-3.1-pro,1.0,0.6168831168831166,0.4723618090452262,0.0,1.0
qa,gpt-5.6-terra,0.3339999999999992,0.3636363636363632,0.4844221105527638,0.30000000000000004,1.0
qa,llama-3.3-70b,0.6660000000000008,0.2792207792207794,0.8522613065326633,0.9437499999999999,1.0
summarisation,claude-sonnet-5,0.9928571428571429,0.7500000000000011,0.0,0.2792022792022793,1.0
summarisation,deepseek-v4-pro,0.6119047619047618,0.7500000000000011,1.0,1.0,1.0
summarisation,gemini-3.1-pro,0.49285714285714277,0.8760000000000004,0.5291576673866091,0.0,1.0
summarisation,gpt-5.6-terra,1.0,1.0,0.39740820734341253,0.4309116809116809,0.0
summarisation,llama-3.3-70b,0.0,0.0,0.9114470842332614,0.665954415954416,1.0
