check_id,model,contract,item,judge_claim,researcher_verdict_agree_disagree,evidence_quote_from_contract,notes,verification_route,failure_mode
FAB-01,claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,F2,"The brief incorrectly attributes the $0.05 per unit donation and the quarterly dispersal of funds to NFLA-NC, whereas the contract states these amounts are payable to and dispersed to the Chapter by the Company.",agree,A *donation of $0.05 per Unit sold of Licensed Products within the Contract Territory payable to the **NFL Alumni Northern California Chapter. Donated amounts will be allocated and dispersed to the Northern California Chapter beginning on the first full quarter,,assisted (clause pulled in-session),misattribution
FAB-02,claude-sonnet-5,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,F4,"The brief incorrectly states AVDU cannot assign without UTK's consent, a restriction not present in the contract text.",agree,UTK may assign this Agreement or any portion of its Compensation as outlined herein to its subsidiaries in its sole discretion.,,assisted (clause pulled in-session),invention + misattribution
FAB-03,deepseek-v4-pro,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",F4,"The contract redacts the exact liability cap amount with an asterisk, so the brief's specific claim about the cap being 'amounts paid' cannot be verified.",agree,"EXCEPT FOR DAMAGES ARISING UNDER SECTIONS 14.A AND 16.A, IN NO EVENT WILL NETGEAR's OR BAY NETWORKS' TOTAL LIABILITY FOR ANY DAMAGES IN ANY ACTION BASED ON OR ARISING OUT OF OR IN CONNECTION WITH THE AGREEMENT EXCEED THE [*] TO NETGEAR PURSUANT TO THE AGREEMENT. EXCEPT FOR DAMAGES ARISING FROM BREACH OF SECTIONS 6.C AND 12,13 OR 17, IN NO EVENT WELL DISTRIBUTOR's TOTAL LIABILITY FOR ANY DAMAGES IN ANY ACTION BASED ON OR ARISING OUT OF OR IN CONNECTION WITH THE AGREEMENT EXCEED THE [*] TO NETGEAR PURSUANT TO THE AGREEMENT.",,assisted (clause pulled in-session),redaction assertion
FAB-04,deepseek-v4-pro,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,F4,The brief incorrectly claims Valeant's termination for convenience triggers a tail payment; Section 12.5 explicitly limits the tail payment obligation to terminations initiated by Dova.,agree,"Solely in the event that Dova has terminated this Agreement pursuant to Section 12.3.1 and notwithstanding anything else herein, in consideration of the promotion services performed by Valeant during the Term, with respect to the Tail Period, Dova shall make payments to Valeant in an amount equal to [***] of the amounts that would have been payable by Dova to Valeant with respect to such Tail Period pursuant to Section 6.1 had the Agreement not been so terminated.",,assisted (clause pulled in-session),misattribution
FAB-05,gemini-3.1-pro,ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.txt,F4,"The brief incorrectly states that RCP must cease using 'Reynolds' names, whereas Section 8.3 explicitly places this restriction on RGHI and its Affiliates.",agree,"Use of RCP Names. By the third anniversary of the Commencement Date, RGHI and its Affiliates will change its corporate names to remove RCP Names and will cease use of RCP Names as trademarks unless such use is pursuant to a separate license agreement with RCP.",,"independent (researcher, via FAB_navigation_guide.md)",misattribution
FAB-06,llama-3.3-70b,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,F2,"The brief incorrectly states that the NFLA-NC will pay the $0.05 per unit donation to itself, whereas the contract clearly assigns this payment obligation to the Company.",agree,A *donation of $0.05 per Unit sold of Licensed Products within the Contract Territory payable to the **NFL Alumni Northern California Chapter. Donated amounts will be allocated and dispersed to the Northern California Chapter beginning on the first full quarter,,assisted (clause pulled in-session),misattribution
FAB-07,llama-3.3-70b,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,F2,"The brief incorrectly states Bank of America must pay for software and maintenance (contract says ""no charge"") and claims Cardlytics provides installation support (contract says it is handled in a separate agreement).",agree,"No-charge Maintenance Services shall be provided from the Delivery Date through the Warranty Period.Installation Support will be handled in a separate agreement
",,"independent (researcher, via FAB_navigation_guide.md)",(not classified - researcher may tag)
FAB-08,llama-3.3-70b,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,F3,"The stated term conflates a source code payment trigger with the agreement's duration, whereas the contract only specifies automatic renewal for the maintenance term.",agree," B. Payment Schedule for Source Code delivery as outlined in Section 2.7

 •  Beginning three (3) years after the General Services Agreement Effective Date, the Supplier Software version in place one (1) yearfollowing the Service reaching 10,000,000 Users $[***]",,assisted (clause pulled in-session),conflation
FAB-09,llama-3.3-70b,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,F2,The brief incorrectly characterizes the right of first refusal as an obligation when the contract explicitly grants it as a discretionary right.,agree,"The Distributor Agreement is hereby amended by adding thereto a new Section 15.11 and a new Section 15.12, which shall read in their entirety as follows:                           Section 15.11  Right of First Refusal.",This is not very clear within the contract,"independent (researcher, via FAB_navigation_guide.md)",(not classified - researcher may tag)
FAB-10,llama-3.3-70b,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,F4,"The brief incorrectly states that the CONSULTANT indemnifies ADAMS GOLF for product defects, whereas Section 21 explicitly assigns this indemnity obligation to ADAMS GOLF.",agree,"  ADAMS GOLF agrees to defend, indemnify and hold harmless CONSULTANT from any and all liability, claims, causes of action, suits, damages and expenses (including reasonable attorneys' fees and expenses) for which he becomes liable or is compelled to pay by reason of or arising out of any claim or action for personal injury, death or otherwise involving alleged defects in ADAMS GOLF'S PRODUCT, provided that ADAMS GOLF is promptly given notice in writing and is given complete authority and information required for the defense, and ADAMS GOLF shall pay all damages or costs awarded therein against CONSULTANT and any other cost incurred by CONSULTANT in defense of any suit, but shall not be responsible for any cost, expense or compromise incurred or made by CONSULTANT without ADAMS GOLF'S prior written consent.
",,"independent (researcher, via FAB_navigation_guide.md)",(not classified - researcher may tag)
