contract,stratum,word_count,strict_json_ok,parse_error,fields_ok,brief_json,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,short,109,True,,True,"{""parties"": [""ABP TRUST (filer)"", ""Adam D. Portnoy (filer)""], ""purpose"": ""The agreement is for the joint filing of a Schedule 13G/A with respect to shares of Class A Common Stock of The RMR Group Inc."", ""key_obligations"": [""ABP TRUST and Adam D. Portnoy: to file the Schedule 13G/A and any amendments on behalf of each other""], ""term"": ""not specified"", ""risks"": []}",,552,107,stop,6.8,0.00069,results/raw/20260825T120846__summary__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,short,302,True,,True,"{""parties"": [""AstroNutrition.com (client)"", ""deep systems (managed hosting provider)""], ""purpose"": ""This agreement is for deep systems to provide managed hosting services to AstroNutrition.com for a period of 12 months."", ""key_obligations"": [""deep systems is to provide system administration, change management, and personal technical support"", ""deep systems is to ensure 99 percent server uptime"", ""AstroNutrition.com is to pay managed hosting fees of $175 per month""], ""term"": ""12 months, ending February 28, 2006"", ""risks"": [""server uptime guarantee of 99 percent, with no specified liability for downtime""]}",,839,140,stop,5.82,0.00102,results/raw/20260825T120852__summary__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,short,529,True,,True,"{""parties"": [""National Football League Alumni - Northern California Chapter (charitable corporation)"", ""National Football League Alumni, Inc. (charitable corporation)"", ""Food For Athletes, Inc. / Gridiron BioNutrients (corporation)""], ""purpose"": ""The agreement is for the endorsement of certain products, including Gridiron CBD H2O Probiotic Water, by the National Football League Alumni and its Northern California Chapter. The endorsement is governed by the terms of the Endorsement Agreement executed by the parties on October 30, 2017."", ""key_obligations"": [""The Company will add Gridiron CBD H2O Probiotic Water to the list of Licensed Products"", ""The Company will provide quarterly sales reports to the NFLA-NC"", ""The NFLA-NC will donate $0.05 per Unit sold of Licensed Products to the NFLA-NC, with 15% of the proceeds going to the NFLA""], ""term"": ""not specified"", ""risks"": []}",,1244,210,stop,9.95,0.00151,results/raw/20260825T120902__summary__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,short,756,True,,True,"{""parties"": [""Bank of America, N.A. (licensee)"", ""Cardlytics (Supplier)""], ""purpose"": ""The agreement is for the licensing of software and provision of maintenance services. The software consists of the Cardlytics OPS (Offer Placement System) Version 3.0."", ""key_obligations"": [""Cardlytics (Supplier) is to provide the software and maintenance services"", ""Cardlytics (Supplier) is to provide training and installation support"", ""Bank of America (licensee) is to pay for the software and maintenance services as outlined in the payment schedule""], ""term"": ""3 years after the General Services Agreement Effective Date, with automatic renewal for successive 12-month periods"", ""risks"": [""Supplier's material breach of the agreement may result in payment obligations"", ""Bank of America has the right to terminate maintenance services for convenience"", ""Supplier's failure to meet performance adjustments may result in payment obligations""]}",,1510,194,stop,4.41,0.00177,results/raw/20260825T120906__summary__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",short,903,True,,True,"{""parties"": [""EWSD 1, LLC d/b/a Shi Farms (seller)"", ""Gridiron BioNutrients, Inc (buyer)""], ""purpose"": ""The agreement is for the sale and purchase of 30,000 lbs of hemp biomass. Shi Farms will sell the biomass to Gridiron at a specified price and quality standards."", ""key_obligations"": [""Shi Farms must deliver 30,000 lbs of hemp biomass meeting specified quality standards"", ""Gridiron must pay $150,000 for the biomass"", ""Shi Farms must quarantine the product until delivery"", ""Gridiron must take delivery of the biomass at a designated location""], ""term"": ""not specified"", ""risks"": [""Gridiron's indemnification of Shi Farms for claims arising from breach of representation or warranty"", ""Unilateral termination right prior to delivery of the product""]}",,1586,176,stop,4.27,0.00183,"results/raw/20260825T120911__summary__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,1762,True,,True,"{""parties"": [""FEDERATED INVESTMENT MANAGEMENT COMPANY (Adviser)"", ""FEDERATED ADVISORY SERVICES COMPANY (FASC)""], ""purpose"": ""The agreement is for FASC to provide certain services to the Adviser in connection with the Adviser's services to investment companies and separate accounts. The services include performance attribution, administration, and risk management."", ""key_obligations"": [""FASC shall provide the services indicated in Exhibit A"", ""Adviser shall pay FASC the Services Fees calculated and payable in accordance with Exhibit B"", ""FASC shall create and maintain necessary books and records"", ""Adviser shall indemnify FASC against certain liabilities""], ""term"": ""60 days' written notice for termination, with some services subject to annual approval by the Account's Board"", ""risks"": [""FASC's limitation of liability for errors of judgment or mistakes of law"", ""Adviser's indemnification of FASC against certain liabilities"", ""Unilateral termination rights by the Account's Board or a vote of the Account's outstanding voting securities""]}",,2616,223,stop,4.3,0.00295,results/raw/20260825T120915__summary__llama-3.3-70b__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,short,1849,True,,True,"{""parties"": [""The HUANG JIA Country CLUB and Recreation Inc. (Party A)"", ""Chang Chen-Bin Architects Office (Party B)""], ""purpose"": ""The agreement is for the development of the Miaoli Royal Resort Hotel, with Party B providing architectural and planning services to Party A."", ""key_obligations"": [""Party A shall provide necessary data and pay service fees"", ""Party B shall provide professional services, follow instructions, and ensure compliance with construction laws and regulations""], ""term"": ""not specified"", ""risks"": [""Party A bears extra service fees for comprehensive modifications"", ""No refund of fees paid if contract cannot be performed due to reasons other than Party B's fault""]}",,2938,146,stop,10.36,0.00321,results/raw/20260825T120925__summary__llama-3.3-70b__ImperialGardenResortInc_20161028_DRS_(on.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,short,2320,True,,True,"{""parties"": [""Yaskawa Electric Corporation (strategic alliance partner)"", ""Argo Medical Technologies Ltd. (strategic alliance partner)""], ""purpose"": ""The agreement establishes a strategic alliance between Yaskawa Electric Corporation and Argo Medical Technologies Ltd. for collaboration in the development, marketing, and distribution of healthcare products, particularly bipedal exoskeleton equipment."", ""key_obligations"": [""Yaskawa Electric Corporation: to market and distribute Argo's products"", ""Argo Medical Technologies Ltd.: to supply products to Yaskawa Electric Corporation"", ""Both parties: to collaborate on research and development, and to establish a Joint Steering Committee""], ""term"": ""10 years from the Effective Date, renewable with mutual agreement, terminable with 60 days' notice after 7 years"", ""risks"": [""Unilateral termination rights"", ""Non-solicitation of personnel"", ""Intellectual property rights and usage restrictions"", ""Confidentiality and non-disclosure obligations""]}",,3527,201,stop,13.47,0.00388,results/raw/20260825T120939__summary__llama-3.3-70b__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,2438,True,,True,"{""parties"": [""Morgan Stanley Investment Management Inc. (Licensor)"", ""Morgan Stanley Direct Lending Fund (Licensee)""], ""purpose"": ""The agreement licenses the use of the 'Morgan Stanley' trademark to Morgan Stanley Direct Lending Fund for specific purposes, including public filings and advertising materials. The license is subject to certain terms and conditions."", ""key_obligations"": [""Licensor: to permit Licensee to use the Brand for the Permitted Activity"", ""Licensee: to use the Brand in a manner consistent with Licensor's high standards of quality and reputation"", ""Licensee: to comply with all applicable laws and industry practices"", ""Licensee: to indemnify Licensor against certain losses and damages""], ""term"": ""in perpetuity, unless terminated"", ""risks"": [""Licensee's indemnification obligations"", ""Licensor's right to terminate the agreement for convenience or breach"", ""Licensee's potential liability for damages resulting from its use of the Brand""]}",,3966,204,stop,11.3,0.00434,results/raw/20260825T120950__summary__llama-3.3-70b__MorganStanleyDirectLendingFund_20191119_.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,short,2765,True,,True,"{""parties"": [""Physician Sales & Service, Inc. (PSS)"", ""Shareholders of Gulf South Medical Supply, Inc. (GSMS)""], ""purpose"": ""The agreement outlines the rights and obligations of the shareholders of GSMS in connection with the shares of PSS to be received as a result of the merger between PSS and GSMS."", ""key_obligations"": [""PSS: to publish financial results of post-merger combined operations"", ""PSS: to file reports required by the Securities Exchange Act of 1934"", ""Shareholders of GSMS: not to sell or transfer PSS Common Stock until certain conditions are met"", ""Shareholders of GSMS: to treat the transaction as a tax-free reorganization under Section 368 of the Internal Revenue Code""], ""term"": ""not specified"", ""risks"": [""Liability under Section 16(b) of the Securities Exchange Act of 1934 for sales of PSS Common Stock by directors or officers of PSS within six months of the merger""]}",,4676,214,stop,13.17,0.00509,results/raw/20260825T121003__summary__llama-3.3-70b__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-.txt
