contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,easy,Governing Law,short,109,,not specified,,,340,7,stop,1.12,0.00024,results/raw/20260818T172140__qa-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,moderate,Termination For Convenience,short,109,No,not specified,,,341,7,stop,1.01,0.00024,results/raw/20260818T172141__qa-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,hard,Cap On Liability,short,109,No,No,,,352,6,stop,1.29,0.00024,results/raw/20260818T172142__qa-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,easy,Expiration Date,short,302,2/28/06,02/28/2006,,,643,11,stop,1.05,0.00045,results/raw/20260818T172143__qa-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,moderate,Termination For Convenience,short,302,No,not specified,,,633,7,stop,1.28,0.00043,results/raw/20260818T172144__qa-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,hard,Ip Ownership Assignment,short,302,No,not specified,,,640,7,stop,0.79,0.00044,results/raw/20260818T172145__qa-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,easy,Governing Law,short,529,,not specified,,,1038,7,stop,0.85,0.0007,results/raw/20260818T172146__qa-v2__deepseek-v4-pro__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,moderate,Termination For Convenience,short,529,No,not specified,,,1039,7,stop,1.29,0.0007,results/raw/20260818T172147__qa-v2__deepseek-v4-pro__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,hard,Cap On Liability,short,529,No,No,,,1050,6,stop,0.8,0.0007,results/raw/20260818T172148__qa-v2__deepseek-v4-pro__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,easy,Expiration Date,short,756,,not specified,,,1344,7,stop,1.05,0.0009,results/raw/20260818T172149__qa-v2__deepseek-v4-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,moderate,Termination For Convenience,short,756,Yes,not specified,,,1334,7,stop,1.25,0.00089,results/raw/20260818T172151__qa-v2__deepseek-v4-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Termination-For-Convenience.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,hard,Ip Ownership Assignment,short,756,No,not specified,,,1341,7,stop,0.94,0.0009,results/raw/20260818T172151__qa-v2__deepseek-v4-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Ip-Ownership-Assignment.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",easy,Governing Law,short,903,Colorado,Colorado,,,1372,6,stop,0.78,0.00092,"results/raw/20260818T172152__qa-v2__deepseek-v4-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Governing-Law.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",moderate,Termination For Convenience,short,903,Yes,Yes,,,1373,6,stop,1.27,0.00092,"results/raw/20260818T172154__qa-v2__deepseek-v4-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Termination-For-Convenience.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",hard,Cap On Liability,short,903,No,No,,,1384,6,stop,0.73,0.00093,"results/raw/20260818T172154__qa-v2__deepseek-v4-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Cap-On-Liability.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,easy,Expiration Date,short,1762,,not specified,,,2393,7,stop,1.03,0.00159,results/raw/20260818T172155__qa-v2__deepseek-v4-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Expiration-Date.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,moderate,Termination For Convenience,short,1762,No,Yes,,,2383,6,stop,0.98,0.00158,results/raw/20260818T172156__qa-v2__deepseek-v4-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Termination-For-Convenience.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,hard,Ip Ownership Assignment,short,1762,No,not specified,,,2390,7,stop,0.86,0.00159,results/raw/20260818T172157__qa-v2__deepseek-v4-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Ip-Ownership-Assignment.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,easy,Governing Law,short,1849,Taiwan,not specified,,,2702,7,stop,1.05,0.0018,results/raw/20260818T172158__qa-v2__deepseek-v4-pro__ImperialGardenResortInc_20161028_DRS_(on__Governing-Law.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,moderate,Termination For Convenience,short,1849,No,not specified,,,2703,7,stop,1.19,0.0018,results/raw/20260818T172159__qa-v2__deepseek-v4-pro__ImperialGardenResortInc_20161028_DRS_(on__Termination-For-Convenience.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,hard,Cap On Liability,short,1849,No,No,,,2714,6,stop,1.04,0.0018,results/raw/20260818T172200__qa-v2__deepseek-v4-pro__ImperialGardenResortInc_20161028_DRS_(on__Cap-On-Liability.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,easy,Expiration Date,short,2320,9/24/23,09/24/2023,,,3317,11,stop,0.89,0.00221,results/raw/20260818T172201__qa-v2__deepseek-v4-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Expiration-Date.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,moderate,Termination For Convenience,short,2320,Yes,Yes,,,3307,6,stop,0.85,0.00219,results/raw/20260818T172202__qa-v2__deepseek-v4-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Termination-For-Convenience.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,hard,Ip Ownership Assignment,short,2320,No,No,,,3314,6,stop,1.04,0.0022,results/raw/20260818T172203__qa-v2__deepseek-v4-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Ip-Ownership-Assignment.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,easy,Governing Law,short,2438,New York,New York,,,3800,7,stop,0.89,0.00252,results/raw/20260818T172204__qa-v2__deepseek-v4-pro__MorganStanleyDirectLendingFund_20191119___Governing-Law.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,moderate,Termination For Convenience,short,2438,Yes,Yes,,,3801,6,stop,1.5,0.00252,results/raw/20260818T172206__qa-v2__deepseek-v4-pro__MorganStanleyDirectLendingFund_20191119___Termination-For-Convenience.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,hard,Cap On Liability,short,2438,Yes,No,,,3812,6,stop,1.05,0.00253,results/raw/20260818T172207__qa-v2__deepseek-v4-pro__MorganStanleyDirectLendingFund_20191119___Cap-On-Liability.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,easy,Expiration Date,short,2765,,not specified,,,4467,7,stop,1.24,0.00296,results/raw/20260818T172208__qa-v2__deepseek-v4-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Expiration-Date.txt
