check_id,n_obl_deep,n_matched,n_material,n_minor,n_padding,ambiguous,notes,sum_check,ok,researcher_ruling
DEP-01,11,7,4,0,0,D1 (obligation to EXECUTE the SPA/DA) - arguably implied by DS S1/S2 which reference them; I counted it material,"DS missed ALL THREE IP/assignment clauses: D7 (no use of other IP), D8 (negotiate licence in good faith), D11 (anti-assignment). D6 contact person -> S7.",11,True,
DEP-02,8,6,1,1,0,D4 source code: DS S2 mentions paying for source code delivery but OMITS the release TRIGGERS (performance failure/material breach) - that trigger IS the substance of an escrow clause. I counted unmatched+material.,"D5 (BoA store source code at designated site, address TBD) = minor. D8 matched to S1 but S1 omits the T&M rates for non-maintenance support.",8,True,
DEP-03,6,5,1,0,0,,S3 BUNDLES D3 (24/7 support) + D4 (99% uptime). Only genuine miss is D6 CAD$55/hr custom-dev rate.,6,True,
DEP-04,11,11,0,0,0,,FULL COVERAGE by DeepSeek. S1 bundles D1+D2; S7 bundles D8+D9. DS ALSO ADDS an item GPT lacks (S10: restrictions extend to spouse/relatives/trusts/10% entities). Evidence AGAINST depth premium.,11,True,
DEP-05,8,5,2,1,0,,"DS missed D7 CONFIDENTIALITY and D8 INDEMNIFICATION - both material risk allocation. D6 notices = minor. NB DS S2 is BETTER than GPT D2: states the $150,000 figure.",8,True,
DEP-06,11,8,3,0,0,D11: DS S7 covers the Skunkware sole-stockholder limb but OMITS the ordinary-course covenant. I counted matched; could defensibly be unmatched+material.,"DS missed D5 (GAAP credit mechanism), D7 (30-day cure / termination for default), D10 (AAA arbitration). DS S5 ADDS the exclusive distribution grant which GPT omitted entirely. DS S1/S2 more specific than GPT (gives $1M-$5M schedule, 50%/40%).",11,True,
DEP-07,18,12,5,1,0,RESOLVED - see researcher_ruling,"DS missed: D1 core supply duty, D6 raw-material obligations, D7 Columbia RM supply+retest costs, D10 Columbia pays equipment maintenance/overhaul, D13 AUDIT RIGHTS. D8 (agree KPIs later)=minor. DS BUNDLES D4+D5 into S1 and D9+D11 into S3. DS ADDS S8 INDEMNIFICATION which GPT omitted entirely. DS S9 more specific than GPT (5-year confidentiality tail).",18,True,"ADJUDICATED 25 Aug: D1 is only PARTIALLY implied in S5 - S5 mentions delivery compliance but not manufacture, supply to specification, cGMP or applicable law. Partial implication is not coverage, so D1 stays UNMATCHED + MATERIAL. Counts unchanged (12/5/1/0). NB assistant had located the partial overlap in S1 (ANVISA) - that was wrong; it is S5 (delivery)."
DEP-08,13,8,4,1,0,"D11 (SW produces the photo/video sessions subject to Diplomat approval) - third-party production duty; I called it minor, arguably material as it defines the deliverables.","DS missed: D3 diligence + 3-month commencement deadline, D7 copyright/trademark notices and duty to protect the Kathy Ireland name, D9 funding travel/accommodation/entourage/hair-makeup/SW fees, D12 LABOUR AND SAFETY LAW compliance. DS BUNDLES D4+D5 into S5 and D6+D8 into S6. DS ADDS S3 the EXCLUSIVE LICENCE GRANT, which GPT omitted - that is the core grant of the agreement.",13,True,
DEP-09,12,10,1,1,0,"S6 vs D9 CONFLICT: DeepSeek says Works transfer ""upon full payment, as work made for hire""; GPT says transfer ""upon termination, subject to the IP provisions"". Different triggers - one of them is likely wrong. Needs the contract to settle, and whichever is wrong is a FAITHFULNESS issue, not a depth one.","DS missed D7 (change-order process for out-of-SOW work) = material scope/pricing control; D8 (5-day change evaluation) = minor. DS BUNDLES D1+D2, D3+D4, D11+D12.",12,True,
DEP-10,10,8,1,1,0,"D4 change-management: DS S1 says only the words ""and change management"" - a TOPIC mention with none of the substance (assess, quote, schedule, weekly progress reporting, implement). I applied the stated rule (specific content, not topic overlap) and called it UNMATCHED+material. A more generous reading calls it matched.",DS BUNDLES D2+D3 into S4 and D5+D6 into S2. D8 (EuroTel accept/decline quotations) = minor. DS S3 omits the 30-day invoice term and Slovak VAT from D9; DS S2 omits D10 site-condition/misuse limbs - both counted matched on their primary content.,10,True,
