check_id,contract,stratum,word_count,n_obl_deep,n_obl_shallow,extra_obligations,claude-sonnet-5_obligations,llama-3.3-70b_obligations,n_material,n_minor,n_padding,notes
DEP-01,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,short,2320,10,3,7,"ARGO must appoint YEC as exclusive distributor of ARGO's products in the territory defined in the concurrently executed Distribution Agreement (DA). | YEC must market and distribute ARGO's products in a professional manner under the DA. | YEC must purchase Series D-1 Convertible Preferred Shares of ARGO pursuant to a separate Share Purchase Agreement (SPA). | ARGO must consider marketing and distributing future YEC healthcare products within its sales network. | Both parties must form and participate in a Joint Steering Committee meeting at least quarterly to review sales progress, set targets, discuss product improvements, R&D responsibilities, licensed manufacturing, and quality improvements. | Both parties must negotiate in good faith to conclude license agreements before using each other's IP for joint development or product improvement. | Both parties must execute a new Confidentiality and Non-Disclosure Agreement and comply with its terms. | Both parties must refrain from soliciting or hiring the other's employees or contractors during the collaboration and for 12 months after termination. | Neither party may assign or transfer the Agreement without the other's prior written consent. | A defaulting party must reimburse the non-defaulting party for costs, expenses, and attorney's fees arising from default or enforcement litigation.","Yaskawa Electric Corporation: to market and distribute Argo's products | Argo Medical Technologies Ltd.: to supply products to Yaskawa Electric Corporation | Both parties: to collaborate on research and development, and to establish a Joint Steering Committee",,,,
DEP-02,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,short,756,7,3,4,"Supplier (Cardlytics) must deliver source code according to the payment schedule triggers tied to time after the General Services Agreement Effective Date, user thresholds, National Launch, and performance adjustments. | Supplier must provide no-charge Maintenance Services from Delivery Date through the Warranty Period, then paid Maintenance Services for an Initial 12-month term with automatic 12-month renewals. | Supplier must provide training classes in connection with installation of the first copy of the Software. | Supplier must provide non-maintenance support services at Time and Materials rates per the Price List. | Bank of America must maintain its copy of the Source Code at a designated installation site per the Agreement's terms. | Bank of America has the right to terminate Maintenance Services for convenience and may reinstate them without a reinstatement fee. | Software License and Maintenance are stated to be provided at no charge under the Payment Terms section, though source code delivery fees apply per the schedule.",Cardlytics (Supplier) is to provide the software and maintenance services | Cardlytics (Supplier) is to provide training and installation support | Bank of America (licensee) is to pay for the software and maintenance services as outlined in the payment schedule,,,,
DEP-03,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,short,302,7,3,4,"deep systems must manage SMTP, IMAP, DNS, SQL database, and HTTP server software/systems for AstroNutrition.com's domain and site, including regular off-site backups | deep systems must manage site source code and integrate contributed software updates and bug fixes into zencart | deep systems must provide 24x7 emergency phone support and respond to non-critical email issues within 1 business day | deep systems must maintain a 99 percent server uptime guarantee | deep systems may charge $55 CAD/hour for project management support of external development and custom software development, if requested | AstroNutrition.com must pay $175 per month for managed hosting services, billed on the 1st of each month | AstroNutrition.com must pay overage fees of $20 per additional 1 G of bandwidth beyond the included 10 G per month","deep systems is to provide system administration, change management, and personal technical support | deep systems is to ensure 99 percent server uptime | AstroNutrition.com is to pay managed hosting fees of $175 per month",,,,
DEP-04,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,short,2765,10,4,6,"Each undersigned affiliate agrees not to sell, transfer, or otherwise dispose of or reduce risk relative to PSS shares received in the Merger until PSS confirms ASR 130/135 financial reporting requirements have been met. | Each undersigned affiliate represents the PSS shares are acquired for their own account, not for distribution, and acknowledges no registration has occurred under the 1933 Act. | Each undersigned affiliate represents they have not sold, transferred, or reduced risk in GSMS shares during the 30 days preceding the Effective Time of the Merger. | Each undersigned affiliate agrees to treat the Merger as a tax-free reorganization consistent with PSS's treatment and affirms no plan to dispose of PSS stock that would jeopardize 'continuity of interest' under Section 368 of the Code. | PSS agrees to publish post-Merger combined financial results within 45 days after the first full fiscal quarter of combined operations and promptly notify affiliates upon publication (ASR 130/135 compliance). | PSS agrees to place restrictive legends on stock certificates and to maintain stop-transfer instructions until conditions for removal are met. | PSS agrees to remove restrictive legends upon satisfaction of ASR 130/135 requirements or applicable Rule 144/145(d) amendments, subject to counsel opinion. | PSS agrees to timely file all required reports under Section 13 of the Securities Exchange Act of 1934 for three years post-Merger to preserve Rule 145(d) public information availability. | PSS agrees to facilitate affiliate transfers under Rule 145(d) by providing necessary legal opinions to its transfer agent upon compliant sale requests. | Each undersigned affiliate agrees the agreement's restrictions extend to shares beneficially owned by related parties (spouse, relatives, trusts, controlled entities).",PSS: to publish financial results of post-merger combined operations | PSS: to file reports required by the Securities Exchange Act of 1934 | Shareholders of GSMS: not to sell or transfer PSS Common Stock until certain conditions are met | Shareholders of GSMS: to treat the transaction as a tax-free reorganization under Section 368 of the Internal Revenue Code,,,,
DEP-05,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",short,903,10,4,6,"Shi Farms: grow, supply and deliver 30,000 lbs. of hemp biomass meeting minimum 6% CBD/CBDA and under 3% THC, free of specified contaminants | Shi Farms: ship Product Samples to a lab designated by Gridiron if requested | Shi Farms: deliver the Biomass to a processor designated by Gridiron | Shi Farms: use best efforts to quarantine the Product after payment until delivery | Gridiron: remit payment of $150,000 upon execution of the agreement | Gridiron: may take its own Product Samples for independent testing | Gridiron: indemnify and hold Shi Farms harmless from claims, losses, liabilities, taxes, fines and costs arising from Gridiron's breach, inaccuracy of representations, or non-performance | Both parties: provide prompt notice of any third-party claim or legal proceeding | Both parties: maintain confidentiality of shared information and return it upon termination | Both parties: not amend, waive, or assign the agreement without mutual written consent","Shi Farms must deliver 30,000 lbs of hemp biomass meeting specified quality standards | Gridiron must pay $150,000 for the biomass | Shi Farms must quarantine the product until delivery | Gridiron must take delivery of the biomass at a designated location",,,,
DEP-06,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,short,2848,8,3,5,"Licensee must pay Licensor quarterly Royalty Advances equal to 25% of an escalating Annual Royalty Advance Requirement (rising from $1,000,000 to $5,000,000+ over successive fiscal years) starting April 1, 1999. | Licensee must pay Licensor royalties (at the Specified Royalty Percentage, 50% or 40% depending on satisfaction of advances) on revenues from Licensed Products, maintenance/support, and upgrade services, with payment due within set timeframes after invoicing or receipt of customer payment. | Licensee must pay 10% per annum interest on any late royalty payments. | Licensor must repay Licensee the aggregate outstanding Royalty Advances upon expiration or termination of the Agreement. | Licensor and any stockholder (Skunkware) must give Licensee an Offering Notice and a 90-day first-refusal opportunity before selling, transferring, or conveying stock or assets of Licensor. | Licensor and Skunkware must maintain Licensor's ordinary course of business, avoid mergers, asset sales, liens, or new securities issuances without Licensee's consent while the Option to Purchase remains in existence. | Licensee has the option (exercisable at its sole discretion during the Option Period) to purchase all assets or all stock of Licensor, triggering good-faith negotiation of a definitive purchase agreement, with disputes subject to arbitration. | Either party may terminate the Agreement on 30 days' written notice for uncured default, with Licensee's payment obligations accelerating upon termination for its own payment default.","Peregrine/Bridge Transfer Corporation: to repay royalty advances upon expiration or termination | NEON Systems, Inc.: to pay royalties to licensor | NEON Systems, Inc.: to exercise right of first refusal to purchase licensor's assets or stock",,,,
DEP-07,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",medium,7145,11,4,7,"Fleet must manufacture and supply Product to Columbia in accordance with Production Schedules/Purchase Orders and maintain sufficient production staff and stock | Fleet must comply with regulatory standards (including ANVISA, cGMP, GDP) and notify Columbia of material manufacturing changes or non-conforming raw materials | Fleet must maintain, insure, mark, and safeguard Columbia-owned equipment ('Columbia Equipment') kept at its premises, and provide annual maintenance plans/reports | Fleet is responsible for ordering and costs of most raw materials, except certain materials supplied by Columbia (title to which remains with Columbia) | Columbia must provide Production Schedules/forecasts, pay invoices within specified periods, and may subcontract its own obligations without Fleet's consent | Fleet may only subcontract with Columbia's prior written consent, remaining liable for subcontractors' performance | Both parties must maintain product/general liability insurance meeting minimum coverage levels | Fleet must defend/indemnify Columbia for breaches, IP infringement (manufacturing-related), and product defects due to Fleet's failure to meet specifications/GMP; Columbia must indemnify Fleet for post-delivery handling/use claims, its own breaches, and IP infringement relating to its own Intellectual Property | Both parties must keep Confidential Information secret for 5 years post-termination and follow specified permitted-disclosure procedures | Upon termination for Fleet's fault, Fleet must assist with transfer of manufacturing know-how and equipment access to Columbia or a new manufacturer, and continue supply during transition | Both parties must comply with anti-bribery/anti-corruption and export control laws, with material breach entitling immediate termination by the non-breaching party",Fleet is to manufacture and supply products to Columbia | Columbia is to purchase products from Fleet | Fleet is to maintain and operate Columbia's equipment | Columbia is to provide certain raw materials to Fleet,,,,
DEP-08,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,medium,3435,13,3,10,"Sicap Ltd must provide HotLine incident support, 20 hours/month telephone support, remote ISDN support, and change management as standard services. | Sicap Ltd must respond to incidents within specified response times based on priority (emergency: 4 hours response/24hr resolution target, high: 4 hours, medium: next working day, low: day after next working day). | Sicap Ltd must assess and quote Requests for Change (RFCs) and communicate progress weekly. | EuroTel must perform first-level maintenance (day-to-day system administration) and initial fault tracing before escalating to Sicap Ltd. | EuroTel must designate up to 5 trained system administrators authorized to use the HotLine and GNATS tool. | EuroTel must report incidents via HotLine and GNATS with required details, and supply supplementary diagnostic information/logs and remote access on Sicap Ltd's request. | EuroTel must have staff on-site during emergency recovery efforts as instructed by Sicap Ltd. | EuroTel must accept or decline change quotations/delivery plans and accept implemented changes. | EuroTel must pay Maintenance and Support fees semi-annually in advance, plus separately for installation costs, additional support, and travel/accommodation expenses at cost. | EuroTel must maintain proper site/environmental conditions and prevent misuse, unauthorized modifications, or unapproved third-party equipment connections. | EuroTel must provide Sicap Ltd site access (with security compliance) and keep an updated list of system administrators. | Sicap Ltd may charge extra for support outside standard service (e.g., third-party software bugs, misuse, unauthorized modifications) at cost/hourly rates. | Sicap Ltd may suspend services if EuroTel fails to pay after notification.","Sicap Ltd is to provide standard service, including hotline support and remote support, as described in the contract | EuroTel is to pay the annual fees and provide cooperation and necessary information to Sicap Ltd | Sicap Ltd is to perform change management and provide additional support as requested by EuroTel",,,,
DEP-09,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,medium,5780,14,4,10,"Diplomat: pay KI Inc. a percentage royalty on net wholesale volume of licensed products | Diplomat: pay guaranteed minimum royalties per License Year regardless of actual sales | Diplomat: provide periodic sales statements and royalty payments on specified schedules | Diplomat: diligently manufacture, distribute and sell the products and maintain adequate distribution arrangements | Diplomat: obtain and maintain product liability insurance naming KI Inc. and KI as insured, with certificate approval | Diplomat: submit product samples, packaging, and promotional/advertising materials to KI Inc. for prior approval | Diplomat: indemnify and defend KI Inc. and KI against claims arising from product defects, IP infringement, or Diplomat's actions | Diplomat: comply with labor/safety laws in manufacturing locations and honor reasonable requests from KI Inc. on labor/safety issues (per Addendum) | Diplomat: not assign, sublicense, or encumber the Agreement without KI Inc.'s written consent | KI Inc.: grant exclusive license (for specified product categories) to use KI's name/likeness worldwide | KI Inc.: indemnify Diplomat against certain third-party claims arising from authorized use of KI's name | KI (via KI Inc.): make personal appearances, participate in photo sessions and videos per License Year, subject to scheduling conditions | Diplomat: pay SW a per-day fee for photo/video session production costs and cover KI's and entourage's travel expenses for appearances | KI Inc.: maintain sole authority to pursue infringement actions regarding KI's name","Diplomat Ambassador Eyewear Group must pay royalties to Kathy Ireland, Inc. | Kathy Ireland, Inc. must endorse the products and make personal appearances | Diplomat Ambassador Eyewear Group must maintain the quality and style of the products | Diplomat Ambassador Eyewear Group must provide statements and payments to Kathy Ireland, Inc.",,,,
DEP-10,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,medium,3596,6,3,3,"Marv: consents to assignment of Premier's license rights to THI and retains rights to prosecute/own reverted patents; has no direct role in Joint Venture development but may consult at its discretion. | Premier: assigns its rights under the 2010/2020 Agreement to THI; cooperates with THI on Joint Venture development of Covid-19 Licensed Products; may partner with other organizations for development. | THI: pays $20,000 (already paid) and approximately $80,000 in outstanding invoices to Marv by July 20, 2020; pays ongoing 5% royalty on Fair Market Value of Licensed Products/services to Marv, plus an additional 5% to certain Premier shareholders (capped at $40,000,000 total); reimburses Marv for IP prosecution costs; provides quarterly royalty reports and payments; funds the Joint Venture with $750,000 (by June 20, 2020) for fluorescent antibody development, $1,150,000 (by July 30, 2020) for laser technology development, and $500,000 to a UK subsidiary for R&D directed by Mohammed Zulfiquar/Datatechnics; must elect national phase filing countries within required notice periods or lose rights in unelected countries; must affirm/deny and prepay IP costs within specified timeframes. | All Parties: maintain confidentiality of information exchanged; represent no brokerage/finder's fees are owed. | THI/Marv: Marv and Mitchell Felder have no obligation to participate in capital raising for THI or Premier; THI's prior stock warrant grant to Felder (150,000,000 warrants) cannot be altered without Felder's request. | Marv: to be reimbursed in full by THI for legal expenses associated with this Agreement.","Technology Health, Inc. is obligated to pay various costs and royalties to Marv Enterprises, LLC | Technology Health, Inc. must report and pay royalties on licensed products and services | Premier Biomedical, Inc. and Technology Health, Inc. will jointly cooperate in developing COVID-19 licensed products",,,,
